experiment,iou_threshold,AP
baseline,0.5,0.14064614474773407
baseline,0.55,0.133185476064682
baseline,0.6,0.12937000393867493
baseline,0.65,0.12243591248989105
baseline,0.7,0.10059719532728195
baseline,0.75,0.09094196557998657
baseline,0.8,0.07586594671010971
baseline,0.85,0.05933958292007446
baseline,0.9,0.01607195846736431
baseline,0.95,0.007244497071951628
shared_detach,0.5,0.11876573413610458
shared_detach,0.55,0.11212824285030365
shared_detach,0.6,0.10720277577638626
shared_detach,0.65,0.1025555431842804
shared_detach,0.7,0.09293774515390396
shared_detach,0.75,0.07158616930246353
shared_detach,0.8,0.05567567050457001
shared_detach,0.85,0.03989996016025543
shared_detach,0.9,0.006281269248574972
shared_detach,0.95,0.0010087713599205017
shared_e2e,0.5,0.14132140576839447
shared_e2e,0.55,0.13635501265525818
shared_e2e,0.6,0.12561587989330292
shared_e2e,0.65,0.12143376469612122
shared_e2e,0.7,0.11185339838266373
shared_e2e,0.75,0.09098850190639496
shared_e2e,0.8,0.0718807578086853
shared_e2e,0.85,0.05655293166637421
shared_e2e,0.9,0.029306020587682724
shared_e2e,0.95,0.004021808970719576
