experiment,seed,metric_type,key,value,scale
baseline,42,area,all,0.0875698700547218,
baseline,42,area,small,0.0411032401025295,
baseline,42,area,medium,0.0769288167357444,
baseline,42,area,large,0.1335181444883346,
baseline,42,class,aeroplane,0.0850503370165824,
baseline,42,class,bicycle,0.1310358494520187,
baseline,42,class,bird,0.0277749132364988,
baseline,42,class,boat,0.0351776368916034,
baseline,42,class,bottle,0.3787128627300262,
baseline,42,class,bus,0.0468947254121303,
baseline,42,class,car,0.2914267778396606,
baseline,42,class,cat,0.0363936237990856,
baseline,42,class,chair,0.0972591713070869,
baseline,42,class,cow,0.0197828486561775,
baseline,42,class,diningtable,0.0029702971223741,
baseline,42,class,dog,0.0141093432903289,
baseline,42,class,horse,0.0566508248448371,
baseline,42,class,motorbike,0.0809238627552986,
baseline,42,class,person,0.1941061466932296,
baseline,42,class,pottedplant,0.0337635912001132,
baseline,42,class,sheep,0.0,
baseline,42,class,sofa,0.0930187925696373,
baseline,42,class,train,0.0261729247868061,
baseline,42,class,tvmonitor,0.1001728028059005,
baseline,42,class_scale,aeroplane,,small
baseline,42,class_scale,aeroplane,,medium
baseline,42,class_scale,aeroplane,0.0869483198319831,large
baseline,42,class_scale,bicycle,,small
baseline,42,class_scale,bicycle,0.0673267326732673,medium
baseline,42,class_scale,bicycle,0.1703384705954291,large
baseline,42,class_scale,bird,,small
baseline,42,class_scale,bird,0.15,medium
baseline,42,class_scale,bird,0.0221038580449804,large
baseline,42,class_scale,boat,,small
baseline,42,class_scale,boat,0.0,medium
baseline,42,class_scale,boat,0.0643564356435643,large
baseline,42,class_scale,bottle,0.0,small
baseline,42,class_scale,bottle,,medium
baseline,42,class_scale,bottle,0.5657425742574258,large
baseline,42,class_scale,bus,0.0,small
baseline,42,class_scale,bus,0.1178217821782178,medium
baseline,42,class_scale,bus,0.018511315417256,large
baseline,42,class_scale,car,0.2322544886067554,small
baseline,42,class_scale,car,0.4981733508438291,medium
baseline,42,class_scale,car,0.3647716757310954,large
baseline,42,class_scale,cat,,small
baseline,42,class_scale,cat,,medium
baseline,42,class_scale,cat,0.0364013697891789,large
baseline,42,class_scale,chair,,small
baseline,42,class_scale,chair,0.1598626594984302,medium
baseline,42,class_scale,chair,0.0787134928709867,large
baseline,42,class_scale,cow,0.0,small
baseline,42,class_scale,cow,0.1125884016973125,medium
baseline,42,class_scale,cow,0.0463366336633663,large
baseline,42,class_scale,diningtable,,small
baseline,42,class_scale,diningtable,0.0,medium
baseline,42,class_scale,diningtable,0.0053905390539053,large
baseline,42,class_scale,dog,,small
baseline,42,class_scale,dog,,medium
baseline,42,class_scale,dog,0.0148909373034021,large
baseline,42,class_scale,horse,0.0,small
baseline,42,class_scale,horse,0.0,medium
baseline,42,class_scale,horse,0.0899329848951281,large
baseline,42,class_scale,motorbike,0.0,small
baseline,42,class_scale,motorbike,0.0,medium
baseline,42,class_scale,motorbike,0.1424628496171134,large
baseline,42,class_scale,person,0.1376746733370846,small
baseline,42,class_scale,person,0.1050622376267221,medium
baseline,42,class_scale,person,0.2727656516881707,large
baseline,42,class_scale,pottedplant,,small
baseline,42,class_scale,pottedplant,0.0184229137199434,medium
baseline,42,class_scale,pottedplant,0.3999999999999999,large
baseline,42,class_scale,sheep,0.0,small
baseline,42,class_scale,sheep,0.0,medium
baseline,42,class_scale,sheep,0.0,large
baseline,42,class_scale,sofa,,small
baseline,42,class_scale,sofa,0.0,medium
baseline,42,class_scale,sofa,0.1030688960304291,large
baseline,42,class_scale,train,,small
baseline,42,class_scale,train,0.0,medium
baseline,42,class_scale,train,0.0329654475328691,large
baseline,42,class_scale,tvmonitor,0.0,small
baseline,42,class_scale,tvmonitor,0.0016030174446016,medium
baseline,42,class_scale,tvmonitor,0.1546615120902799,large
baseline,42,iou,0.50,0.140646144747734,
baseline,42,iou,0.55,0.133185476064682,
baseline,42,iou,0.60,0.1293700039386749,
baseline,42,iou,0.65,0.122435912489891,
baseline,42,iou,0.70,0.1005971953272819,
baseline,42,iou,0.75,0.0909419655799865,
baseline,42,iou,0.80,0.0758659467101097,
baseline,42,iou,0.85,0.0593395829200744,
baseline,42,iou,0.90,0.0160719584673643,
baseline,42,iou,0.95,0.0072444970719516,
shared_detach,42,area,all,0.0708041861653328,
shared_detach,42,area,small,0.0422662682831287,
shared_detach,42,area,medium,0.0732257887721061,
shared_detach,42,area,large,0.0982286259531974,
shared_detach,42,class,aeroplane,0.0116853369399905,
shared_detach,42,class,bicycle,0.0686468631029129,
shared_detach,42,class,bird,0.0271016955375671,
shared_detach,42,class,boat,0.0076345298439264,
shared_detach,42,class,bottle,0.3393548727035522,
shared_detach,42,class,bus,0.0208239313215017,
shared_detach,42,class,car,0.1783497631549835,
shared_detach,42,class,cat,0.0527259558439254,
shared_detach,42,class,chair,0.134094163775444,
shared_detach,42,class,cow,0.0535905659198761,
shared_detach,42,class,diningtable,0.0,
shared_detach,42,class,dog,0.0241967402398586,
shared_detach,42,class,horse,0.0799459964036941,
shared_detach,42,class,motorbike,0.0192632172256708,
shared_detach,42,class,person,0.3068736791610718,
shared_detach,42,class,pottedplant,0.0048731435090303,
shared_detach,42,class,sheep,0.0,
shared_detach,42,class,sofa,0.048425443470478,
shared_detach,42,class,train,0.0155007475987076,
shared_detach,42,class,tvmonitor,0.022997124120593,
shared_detach,42,class_scale,aeroplane,,small
shared_detach,42,class_scale,aeroplane,,medium
shared_detach,42,class_scale,aeroplane,0.0155252053271855,large
shared_detach,42,class_scale,bicycle,,small
shared_detach,42,class_scale,bicycle,0.0,medium
shared_detach,42,class_scale,bicycle,0.0927392739273927,large
shared_detach,42,class_scale,bird,,small
shared_detach,42,class_scale,bird,0.1166666666666666,medium
shared_detach,42,class_scale,bird,0.0260699661397252,large
shared_detach,42,class_scale,boat,,small
shared_detach,42,class_scale,boat,0.0,medium
shared_detach,42,class_scale,boat,0.0227875095201827,large
shared_detach,42,class_scale,bottle,0.0,small
shared_detach,42,class_scale,bottle,,medium
shared_detach,42,class_scale,bottle,0.5107519947397038,large
shared_detach,42,class_scale,bus,0.0,small
shared_detach,42,class_scale,bus,0.0384724186704384,medium
shared_detach,42,class_scale,bus,0.0052722941467079,large
shared_detach,42,class_scale,car,0.2339239187076602,small
shared_detach,42,class_scale,car,0.4008323689511807,medium
shared_detach,42,class_scale,car,0.2256428413596002,large
shared_detach,42,class_scale,cat,,small
shared_detach,42,class_scale,cat,,medium
shared_detach,42,class_scale,cat,0.0532871497613181,large
shared_detach,42,class_scale,chair,,small
shared_detach,42,class_scale,chair,0.1930829711175972,medium
shared_detach,42,class_scale,chair,0.0973734075373318,large
shared_detach,42,class_scale,cow,0.0,small
shared_detach,42,class_scale,cow,0.1534153415341534,medium
shared_detach,42,class_scale,cow,0.0946686976389946,large
shared_detach,42,class_scale,diningtable,,small
shared_detach,42,class_scale,diningtable,0.0,medium
shared_detach,42,class_scale,diningtable,0.0,large
shared_detach,42,class_scale,dog,,small
shared_detach,42,class_scale,dog,,medium
shared_detach,42,class_scale,dog,0.0272185022279993,large
shared_detach,42,class_scale,horse,0.0,small
shared_detach,42,class_scale,horse,0.08,medium
shared_detach,42,class_scale,horse,0.1578869748502069,large
shared_detach,42,class_scale,motorbike,0.0,small
shared_detach,42,class_scale,motorbike,0.0,medium
shared_detach,42,class_scale,motorbike,0.0394320973866428,large
shared_detach,42,class_scale,person,0.1464725026868108,small
shared_detach,42,class_scale,person,0.1792752106251036,medium
shared_detach,42,class_scale,person,0.4069251536606301,large
shared_detach,42,class_scale,pottedplant,,small
shared_detach,42,class_scale,pottedplant,0.0,medium
shared_detach,42,class_scale,pottedplant,0.061111111111111,large
shared_detach,42,class_scale,sheep,0.0,small
shared_detach,42,class_scale,sheep,0.0,medium
shared_detach,42,class_scale,sheep,0.0,large
shared_detach,42,class_scale,sofa,,small
shared_detach,42,class_scale,sofa,0.0,medium
shared_detach,42,class_scale,sofa,0.0661571067432966,large
shared_detach,42,class_scale,train,,small
shared_detach,42,class_scale,train,0.0,medium
shared_detach,42,class_scale,train,0.0227040602852935,large
shared_detach,42,class_scale,tvmonitor,0.0,small
shared_detach,42,class_scale,tvmonitor,0.0098676627831086,medium
shared_detach,42,class_scale,tvmonitor,0.039019116197334,large
shared_detach,42,iou,0.50,0.1187657341361045,
shared_detach,42,iou,0.55,0.1121282428503036,
shared_detach,42,iou,0.60,0.1072027757763862,
shared_detach,42,iou,0.65,0.1025555431842804,
shared_detach,42,iou,0.70,0.0929377451539039,
shared_detach,42,iou,0.75,0.0715861693024635,
shared_detach,42,iou,0.80,0.05567567050457,
shared_detach,42,iou,0.85,0.0398999601602554,
shared_detach,42,iou,0.90,0.0062812692485749,
shared_detach,42,iou,0.95,0.0010087713599205,
shared_e2e,42,area,all,0.0889329463243484,
shared_e2e,42,area,small,0.0614373534917831,
shared_e2e,42,area,medium,0.1156176328659057,
shared_e2e,42,area,large,0.1195618286728859,
shared_e2e,42,class,aeroplane,0.1072415336966514,
shared_e2e,42,class,bicycle,0.203818216919899,
shared_e2e,42,class,bird,0.0597934126853942,
shared_e2e,42,class,boat,0.0,
shared_e2e,42,class,bottle,0.1779950559139251,
shared_e2e,42,class,bus,0.0508485622704029,
shared_e2e,42,class,car,0.2175721079111099,
shared_e2e,42,class,cat,0.2628887891769409,
shared_e2e,42,class,chair,0.1396931707859039,
shared_e2e,42,class,cow,0.1037448421120643,
shared_e2e,42,class,diningtable,0.0,
