experiment,seed,image_id,large_gt_count,matched_tp_score_mean,matched_tp_score_min,matched_iou_mean,matched_class_accuracy,fp_query_count,fp_score_mean,fp_score_q95,fp_score_q99,fp_score_top10_mean,fp_score_max,tp_minus_top_fp,tp_above_top_fp,duplicate_like_fp50_count,duplicate_like_fp50_rate,high_confidence_fp50_count,checkpoint_epoch,fingerprint
baseline,42,6381,7,0.20635132491588593,0.03723548725247383,0.8156647086143494,0.8571429252624512,283,0.11116340011358261,0.2714504599571228,0.3271486759185791,0.3128889501094818,0.33224648237228394,-0.125895157456398,0,46,0.16254417598247528,0,7,c16286f63961237b
baseline,42,4537,5,0.07713250070810318,0.044341281056404114,0.7889800667762756,0.20000000298023224,293,0.048478417098522186,0.09718924760818481,0.14086386561393738,0.14802482724189758,0.2255471646785736,-0.14841467142105103,0,0,0.0,0,7,c16286f63961237b
baseline,42,9896,1,0.04995908588171005,0.04995908588171005,0.9192644357681274,0.0,299,0.028546039015054703,0.06365244090557098,0.1071862205862999,0.1017303466796875,0.12839478254318237,-0.07843569666147232,0,1,0.0033444815780967474,0,7,c16286f63961237b
baseline,42,7223,1,0.07988285273313522,0.07988285273313522,0.9691590070724487,1.0,299,0.03446485474705696,0.07636918872594833,0.09921464323997498,0.09646046906709671,0.11139040440320969,-0.03150755167007446,0,27,0.09030099958181381,0,7,c16286f63961237b
baseline,42,1977,1,0.11970358341932297,0.11970358341932297,0.9221895337104797,1.0,299,0.035449109971523285,0.08363782614469528,0.12644025683403015,0.11645571887493134,0.13221293687820435,-0.012509353458881378,0,30,0.10033445060253143,0,7,c16286f63961237b
baseline,42,5606,3,0.07884993404150009,0.04370924457907677,0.8204538822174072,0.6666666865348816,295,0.08342254906892776,0.1969204694032669,0.23504331707954407,0.22946827113628387,0.26010480523109436,-0.18125486373901367,0,60,0.20338982343673706,0,7,c16286f63961237b
baseline,42,8368,2,0.08581850677728653,0.03698515519499779,0.909119725227356,0.5,298,0.04102650657296181,0.0944739431142807,0.17832918465137482,0.1635185182094574,0.20267754793167114,-0.11685904115438461,0,34,0.11409395933151245,0,7,c16286f63961237b
baseline,42,6852,2,0.17268581688404083,0.10561788827180862,0.7901299595832825,0.5,297,0.055213287472724915,0.1466849148273468,0.20636877417564392,0.19455672800540924,0.26838043332099915,-0.09569461643695831,0,13,0.04377104341983795,0,7,c16286f63961237b
baseline,42,5879,1,0.05269378051161766,0.05269378051161766,0.7990489602088928,0.0,299,0.03520273417234421,0.07380163669586182,0.0858571007847786,0.0855904370546341,0.09362577646970749,-0.04093199595808983,0,7,0.023411370813846588,0,7,c16286f63961237b
baseline,42,3369,1,0.04827644303441048,0.04827644303441048,0.672979474067688,0.0,296,0.05443461984395981,0.1453022062778473,0.2526185214519501,0.24248822033405304,0.2929169833660126,-0.2446405440568924,0,0,0.0,0,7,c16286f63961237b
baseline,42,6062,1,0.18309402465820312,0.18309402465820312,0.8646200895309448,1.0,297,0.05528106540441513,0.14525623619556427,0.30232471227645874,0.27042466402053833,0.41961514949798584,-0.23652112483978271,0,37,0.12457912415266037,0,7,c16286f63961237b
baseline,42,740,2,0.058315690606832504,0.055476244539022446,0.8833320736885071,0.0,298,0.0305721927434206,0.06698126345872879,0.11137481778860092,0.10373760759830475,0.13143518567085266,-0.07311949133872986,0,0,0.0,0,7,c16286f63961237b
baseline,42,4031,2,0.054212626069784164,0.03492843359708786,0.7774003148078918,0.0,297,0.03800427168607712,0.06707672029733658,0.11905276775360107,0.11064747720956802,0.1442026048898697,-0.08998997509479523,0,1,0.003367003286257386,0,7,c16286f63961237b
