experiment,seed,iou_threshold,TP,Duplicate FP,Localization FP,Classification FP,Background FP,Missed GT,Precision_micro,Recall_micro,Recall_COCO_macro,AP_L
baseline,42,0.5,156,1610,550,4425,1133,34,0.019812039624079247,0.8210526315789474,0.6551499908542162,0.15973705628121285
baseline,42,0.75,129,765,1454,3215,2311,61,0.016383032766065533,0.6789473684210526,0.5418155524053411,0.10667980278903241
shared_e2e,42,0.5,156,1529,458,4880,799,34,0.019943748401943236,0.8210526315789474,0.6745899259191512,0.1708460335521956
shared_e2e,42,0.75,134,644,1389,3355,2299,56,0.017133358905510803,0.7052631578947368,0.5260830894457655,0.10833576221059714
baseline,43,0.5,171,1217,463,4951,1022,19,0.021855828220858894,0.9,0.8104665492957747,0.25545090991545605
baseline,43,0.75,144,437,1319,3140,2784,46,0.018404907975460124,0.7578947368421053,0.6549200887141028,0.20730420391432974
shared_e2e,43,0.5,157,1454,432,4924,736,33,0.0203816694794236,0.8263157894736842,0.6892490168282421,0.21527988380831203
shared_e2e,43,0.75,129,589,1362,3362,2261,61,0.016746722056341683,0.6789473684210526,0.4778606868483629,0.1386781494190436
baseline,44,0.5,141,1627,531,4000,966,49,0.019408121128699243,0.7421052631578947,0.5620655752698006,0.16424773294729145
baseline,44,0.75,119,714,1491,2532,2412,71,0.016373142542652725,0.6263157894736842,0.4680269114688129,0.12858172674291624
shared_e2e,44,0.5,156,1514,485,4607,1035,34,0.020007695267410544,0.8210526315789474,0.6928934973477227,0.13900874224601648
shared_e2e,44,0.75,137,597,1460,3008,2598,53,0.017564102564102565,0.7210526315789474,0.532217509603073,0.100012740172162
