experiment,seed,iou_threshold,recall_threshold,precision
baseline,42,0.5,0.0,0.30784328480549406
baseline,42,0.5,0.01,0.30784328480549406
baseline,42,0.5,0.02,0.30784328480549406
baseline,42,0.5,0.03,0.30784328480549406
baseline,42,0.5,0.04,0.30784328480549406
baseline,42,0.5,0.05,0.30784328480549406
baseline,42,0.5,0.06,0.30784328480549406
baseline,42,0.5,0.07,0.2935575705197798
baseline,42,0.5,0.08,0.2935575705197798
baseline,42,0.5,0.09,0.2935575705197798
baseline,42,0.5,0.1,0.27817295513516443
baseline,42,0.5,0.11,0.2656729551351644
baseline,42,0.5,0.12,0.2656729551351644
baseline,42,0.5,0.13,0.2656729551351644
baseline,42,0.5,0.14,0.2656729551351644
baseline,42,0.5,0.15,0.2656729551351644
baseline,42,0.5,0.16,0.2656729551351644
baseline,42,0.5,0.17,0.2604097972404276
baseline,42,0.5,0.18,0.2604097972404276
baseline,42,0.5,0.19,0.2492986861293165
baseline,42,0.5,0.2,0.2492986861293165
baseline,42,0.5,0.21,0.2492986861293165
baseline,42,0.5,0.22,0.2492986861293165
baseline,42,0.5,0.23,0.2492986861293165
baseline,42,0.5,0.24,0.24456184402405334
baseline,42,0.5,0.25,0.24456184402405334
baseline,42,0.5,0.26,0.23182160378381308
baseline,42,0.5,0.27,0.23182160378381308
baseline,42,0.5,0.28,0.23182160378381308
baseline,42,0.5,0.29,0.22592122064205067
baseline,42,0.5,0.3,0.22592122064205067
baseline,42,0.5,0.31,0.21342122064205066
baseline,42,0.5,0.32,0.19913550635633637
baseline,42,0.5,0.33,0.1947744515896021
baseline,42,0.5,0.34,0.19326411772632704
baseline,42,0.5,0.35000000000000003,0.19326411772632704
baseline,42,0.5,0.36,0.19281366727587662
baseline,42,0.5,0.37,0.1836019852381076
baseline,42,0.5,0.38,0.1753102769463993
baseline,42,0.5,0.39,0.1753102769463993
baseline,42,0.5,0.4,0.17387549433770366
baseline,42,0.5,0.41000000000000003,0.17297760056480987
baseline,42,0.5,0.42,0.17297760056480987
baseline,42,0.5,0.43,0.16952827211548144
baseline,42,0.5,0.44,0.16856673365394295
baseline,42,0.5,0.45,0.16856673365394295
baseline,42,0.5,0.46,0.1622882898754992
baseline,42,0.5,0.47000000000000003,0.1622882898754992
baseline,42,0.5,0.48,0.1622882898754992
baseline,42,0.5,0.49,0.1622882898754992
baseline,42,0.5,0.5,0.1622882898754992
baseline,42,0.5,0.51,0.14874301003985926
baseline,42,0.5,0.52,0.14874301003985926
baseline,42,0.5,0.53,0.14777710094895016
baseline,42,0.5,0.54,0.14777710094895016
baseline,42,0.5,0.55,0.14223888916073837
baseline,42,0.5,0.56,0.14223888916073837
baseline,42,0.5,0.5700000000000001,0.14206937782101425
baseline,42,0.5,0.58,0.14191035171879887
baseline,42,0.5,0.59,0.14191035171879887
baseline,42,0.5,0.6,0.13895651935662942
baseline,42,0.5,0.61,0.12979141254913962
baseline,42,0.5,0.62,0.12930957615695726
baseline,42,0.5,0.63,0.12930957615695726
baseline,42,0.5,0.64,0.12768619953358068
baseline,42,0.5,0.65,0.1271459548765289
baseline,42,0.5,0.66,0.1271459548765289
baseline,42,0.5,0.67,0.12609806917636007
baseline,42,0.5,0.68,0.12595747612932534
baseline,42,0.5,0.6900000000000001,0.12079707089504928
baseline,42,0.5,0.7000000000000001,0.1142886001061556
baseline,42,0.5,0.71,0.1137851014751851
baseline,42,0.5,0.72,0.1137851014751851
baseline,42,0.5,0.73,0.11273468130711788
