experiment,seed,checkpoint_epoch,fingerprint,AP_L,AP50_L,AP75_L,AR_L
baseline,42,7,c16286f63961237b,0.0986151322722435,0.15960492475638297,0.10664998202454813,0.4840596318244934
shared_detach,42,7,c16286f63961237b,0.13636119663715363,0.2067157186354751,0.15992024879161232,0.5076001286506653
shared_e2e,42,7,c16286f63961237b,0.10778437554836273,0.17077515147236136,0.10826840878215138,0.49762794375419617
separate_e2e,42,7,c16286f63961237b,0.1247098445892334,0.2018129654630344,0.12002036266640985,0.5595389604568481
baseline,43,7,d1b7a9f86e187c5e,0.17651598155498505,0.2553257089500939,0.2072601471497788,0.58124178647995
shared_detach,43,7,d1b7a9f86e187c5e,0.1464068442583084,0.2536212961639276,0.16326024832549896,0.5158500671386719
shared_e2e,43,7,d1b7a9f86e187c5e,0.1408754289150238,0.21495285681052717,0.13847997295582762,0.4764938950538635
separate_e2e,43,7,d1b7a9f86e187c5e,0.12277083098888397,0.18416876474885932,0.1369458908197846,0.5386979579925537
baseline,44,7,9fffb715f8680daa,0.10014086216688156,0.1642199147437843,0.12857864831614624,0.40731340646743774
shared_detach,44,7,9fffb715f8680daa,0.10117674618959427,0.18584936278688535,0.08779839180222204,0.5059220790863037
shared_e2e,44,7,9fffb715f8680daa,0.0934586152434349,0.13896970573070047,0.10000206949820278,0.5196375250816345
separate_e2e,44,7,9fffb715f8680daa,0.10417474061250687,0.16385254173261057,0.1303775839637372,0.5448316931724548
