experiment,seed,checkpoint_epoch,fingerprint,loc_map,loc_ap50,loc_ap75,loc_ap_small,loc_ap_medium,loc_ap_large,loc_ar100,matched_iou,center_error_l2,size_error_l1,geometry_recall50,geometry_recall75,matched_boxes,gt_boxes
baseline,42,7,c16286f63961237b,0.1250559538602829,0.24605734646320343,0.1121150553226471,0.08812258392572403,0.1032526046037674,0.1800556778907776,0.5794212222099304,0.7308861613273621,0.04290664941072464,0.08405683934688568,0.8488745980707395,0.6270096463022508,311,311
baseline,43,7,d1b7a9f86e187c5e,0.1797279268503189,0.3328080177307129,0.17580755054950714,0.133457213640213,0.13057802617549896,0.25065621733665466,0.5942122340202332,0.7406148910522461,0.03807448223233223,0.08186351507902145,0.8713826366559485,0.6559485530546624,311,311
shared_e2e,42,7,c16286f63961237b,0.14448460936546326,0.2601941227912903,0.14782986044883728,0.10375257581472397,0.1420387178659439,0.17028073966503143,0.6022508144378662,0.7440135478973389,0.038413554430007935,0.07759782671928406,0.8456591639871383,0.6688102893890675,311,311
shared_e2e,43,7,d1b7a9f86e187c5e,0.15596771240234375,0.2882055342197418,0.13974252343177795,0.09803114831447601,0.14140483736991882,0.19811759889125824,0.6196141242980957,0.7539636492729187,0.03994297981262207,0.07456999272108078,0.8906752411575563,0.6495176848874598,311,311
localization_only,42,7,d7bb4f61fb25533a,0.27060946822166443,0.485284686088562,0.25299888849258423,0.1848367303609848,0.19182391464710236,0.3686683177947998,0.6331189870834351,0.7815194725990295,0.023240167647600174,0.05490566045045853,0.9356913183279743,0.6816720257234726,311,311
localization_only,43,7,7e3c91a3da88332b,0.25164270401000977,0.46713054180145264,0.24837157130241394,0.162240132689476,0.1999359428882599,0.34324073791503906,0.6180064082145691,0.776405930519104,0.02160240150988102,0.055306755006313324,0.9292604501607717,0.6495176848874598,311,311
localization_gt_e2e_aux010,42,7,d7bb4f61fb25533a,0.2798258066177368,0.4946835935115814,0.3098495304584503,0.1063501164317131,0.1777079999446869,0.37699753046035767,0.6286173462867737,0.7775278091430664,0.02063886821269989,0.054518286138772964,0.9292604501607717,0.6913183279742765,311,311
localization_gt_e2e_aux010,43,7,7e3c91a3da88332b,0.27663737535476685,0.4525933265686035,0.30979597568511963,0.1004486232995987,0.17271168529987335,0.3826518654823303,0.671061098575592,0.8029477000236511,0.01910853572189808,0.04743443429470062,0.9453376205787781,0.7652733118971061,311,311
localization_gt_e2e_aux025,42,7,d7bb4f61fb25533a,0.2207842469215393,0.37853875756263733,0.22717921435832977,0.09498050808906555,0.12486012279987335,0.3365236520767212,0.63987135887146,0.7772913575172424,0.024164846166968346,0.055142179131507874,0.9067524115755627,0.7009646302250804,311,311
localization_gt_e2e_aux025,43,7,7e3c91a3da88332b,0.2804746925830841,0.4801797568798065,0.28467413783073425,0.15285097062587738,0.2190694510936737,0.36676669120788574,0.6578778028488159,0.7994968891143799,0.017864959314465523,0.04920884221792221,0.9485530546623794,0.7041800643086816,311,311
localization_gt_e2e_aux050,42,7,d7bb4f61fb25533a,0.2246122509241104,0.3957950174808502,0.23608236014842987,0.13316766917705536,0.1483248770236969,0.3223525583744049,0.6562700867652893,0.7902559041976929,0.020506110042333603,0.052935678511857986,0.9389067524115756,0.7170418006430869,311,311
localization_gt_e2e_aux050,43,7,7e3c91a3da88332b,0.22756178677082062,0.4101727306842804,0.22251224517822266,0.12483427673578262,0.19516001641750336,0.3065871298313141,0.642122209072113,0.7875481247901917,0.019684026017785072,0.051013194024562836,0.9292604501607717,0.6977491961414791,311,311
