experiment,seed,scale,center_error_sq_mean,center_error_sq_count,center_error_l2_mean,center_error_l2_count,size_error_l1_mean,size_error_l1_count,size_error_relative_mean,size_error_relative_count,matched_iou_mean,matched_iou_count,label_correct_mean,label_correct_count
baseline,42,large,0.0011326056636983214,190,0.02476274378461408,190,0.050449908132615844,190,0.1297751733886176,190,0.828243215303672,190,0.5263157894736842,190
baseline,42,medium,0.0014884927265665098,83,0.025861795217427146,83,0.04787686561425048,83,0.3531636249902378,83,0.6176115737173212,83,0.5421686746987951,83
baseline,42,small,0.0009040597498920091,38,0.02164974892021794,38,0.05119955118157362,38,1.2881036958608187,38,0.41191690939625625,38,0.3157894736842105,38
baseline,43,large,0.0010856403686530986,190,0.025487243157725683,190,0.05008796073104206,190,0.12427423035873002,190,0.8325536663594999,190,0.5157894736842106,190
baseline,43,medium,0.0009163200732539089,83,0.021682675890007382,83,0.049007139067692926,83,0.40568739597696857,83,0.6320319425269781,83,0.42168674698795183,83
baseline,43,small,0.001389294372913989,38,0.023300077700313476,38,0.0443102901703433,38,0.9644261506435118,38,0.4457564939205584,38,0.34210526315789475,38
baseline,44,large,0.0011466008130388385,190,0.024896369140141792,190,0.05389314191906076,190,0.1380156918919008,190,0.8249153425034724,190,0.48947368421052634,190
baseline,44,medium,0.0017178148281159502,83,0.024945217970175196,83,0.04921459756701826,83,0.40139262189707126,83,0.6143806714070849,83,0.4939759036144578,83
baseline,44,small,0.0012849271966651461,38,0.02618686815625743,38,0.061215826212183425,38,1.349173349769492,38,0.3666858933866024,38,0.3157894736842105,38
separate_e2e,42,large,0.0011618714235445127,190,0.02451651964480621,190,0.051263508553567684,190,0.1342601619587329,190,0.8312904390065293,190,0.5210526315789473,190
separate_e2e,42,medium,0.0010065419830640571,83,0.02120753078432529,83,0.04223718305668199,83,0.31215540566537753,83,0.6594014323080879,83,0.5301204819277109,83
separate_e2e,42,small,0.0007247699347173789,38,0.020947488104483408,38,0.044240744490372505,38,1.0175690954845202,38,0.44178972942264455,38,0.34210526315789475,38
separate_e2e,43,large,0.0010581238875893835,190,0.022755988431775846,190,0.041651633656338644,190,0.1112473220411247,190,0.8422780790611317,190,0.5052631578947369,190
separate_e2e,43,medium,0.0006892140927845273,83,0.018553041820750987,83,0.04659765388771712,83,0.3771459331444229,83,0.6497795445373259,83,0.4939759036144578,83
separate_e2e,43,small,0.0008575420163885227,38,0.020265174236173106,38,0.05442476458847523,38,1.2111031830702956,38,0.39663539900395434,38,0.3157894736842105,38
separate_e2e,44,large,0.0010603970197041093,190,0.022942992763618303,190,0.046436601092940885,190,0.12142276047410346,190,0.8428469162630408,190,0.49473684210526314,190
separate_e2e,44,medium,0.0010069452197490958,83,0.02094341920694359,83,0.05078048537294549,83,0.37659620841493807,83,0.6474119943667607,83,0.5301204819277109,83
separate_e2e,44,small,0.0007269785291052693,38,0.019413380736583156,38,0.05113263276258582,38,1.1611163773034747,38,0.4252496776906283,38,0.34210526315789475,38
shared_detach,42,large,0.0014160358959651076,190,0.02709501999074985,190,0.05068164263900957,190,0.12699866390321404,190,0.8272158636858589,190,0.49473684210526314,190
shared_detach,42,medium,0.0008698711464541225,83,0.02156750959062287,83,0.044178582683026074,83,0.3290366898234709,83,0.6393610177988029,83,0.5301204819277109,83
shared_detach,42,small,0.0004417209531766275,38,0.017081431964853483,38,0.04731446132063866,38,1.0977595364184756,38,0.46667633480147314,38,0.34210526315789475,38
shared_detach,43,large,0.0011647931143784263,190,0.02499834945713366,190,0.051769533792608666,190,0.13369909429211954,190,0.8266661285569793,190,0.5052631578947369,190
shared_detach,43,medium,0.000990019446142384,83,0.023251944334465022,83,0.04450666944844177,83,0.3435106659869114,83,0.6282281963581062,83,0.5542168674698795,83
shared_detach,43,small,0.0006833910020927043,38,0.021576148237248783,38,0.05259295964711591,38,1.1460139737709572,38,0.4026752273110967,38,0.3157894736842105,38
shared_detach,44,large,0.0011834371237610915,190,0.025965768446239004,190,0.04751699715852738,190,0.12104739851171249,190,0.8260938242077828,190,0.5368421052631579,190
shared_detach,44,medium,0.001295134575798329,83,0.022121436856771225,83,0.04422835992222809,83,0.33438094633530424,83,0.6414410976401295,83,0.5421686746987951,83
shared_detach,44,small,0.0005814915332752877,38,0.019358334070267647,38,0.05452170997465912,38,1.212996299427591,38,0.42896742628593193,38,0.3157894736842105,38
shared_e2e,42,large,0.001264811616211821,190,0.024303844871955287,190,0.0495406768431789,190,0.12430793107242176,190,0.839557718838516,190,0.5157894736842106,190
shared_e2e,42,medium,0.0007666251719144044,83,0.018353746691999216,83,0.04374797826251352,83,0.32510599422167585,83,0.6626990430999592,83,0.5421686746987951,83
shared_e2e,42,small,0.0008779846208665875,38,0.01762287216996284,38,0.04625038949674681,38,1.116885713154548,38,0.46394526198702424,38,0.34210526315789475,38
shared_e2e,43,large,0.0010131329642921341,190,0.022617733498152933,190,0.04332404544478968,190,0.11706775033135751,190,0.8412472829222679,190,0.531578947368421,190
shared_e2e,43,medium,0.0012264677596520589,83,0.022258514184953577,83,0.04531710913561913,83,0.34187634650572957,83,0.644790489989591,83,0.4819277108433735,83
shared_e2e,43,small,0.0009527456254784882,38,0.020110035823707125,38,0.043969380718312766,38,0.8978469900688842,38,0.4278698352312571,38,0.34210526315789475,38
shared_e2e,44,large,0.0013023315292050603,190,0.025101270161471085,190,0.04584890631468672,190,0.1162581189229202,190,0.8369249790906906,190,0.5105263157894737,190
shared_e2e,44,medium,0.0006195546113895581,83,0.018638829300909425,83,0.04414445202214172,83,0.347583170800683,83,0.6480633699032198,83,0.4578313253012048,83
shared_e2e,44,small,0.0015336312991214647,38,0.024430504381215495,38,0.04988362100955687,38,1.175736339860841,38,0.3957634308914605,38,0.34210526315789475,38
