experiment,seed,scale,image_id,target_index,center_error_sq,center_error_l2,size_error_l1,size_error_relative,matched_iou,label_correct
baseline,42,medium,6381,16,0.0014489335007965565,0.0380648598074913,0.05793546140193939,0.4348526895046234,0.5649125576019287,0
baseline,42,medium,6381,15,0.00015883798187132925,0.01260309386998415,0.012592770159244537,0.09562405943870544,0.8209110498428345,1
baseline,42,medium,6381,9,0.0002436086069792509,0.015607966110110283,0.048559121787548065,0.3248538374900818,0.7413075566291809,1
baseline,42,large,6381,7,3.281536919530481e-05,0.005728470161557198,0.019648075103759766,0.08270443230867386,0.9222901463508606,1
baseline,42,medium,6381,5,0.00040551755228079855,0.020137466490268707,0.05682817101478577,0.1622174084186554,0.8429049849510193,1
baseline,42,large,6381,3,0.0002400215744273737,0.015492629259824753,0.0360291451215744,0.16958026587963104,0.8066256642341614,1
baseline,42,medium,6381,10,0.00011137825640616938,0.010553590022027493,0.015398729592561722,0.16245567798614502,0.6669257879257202,1
baseline,42,large,6381,14,3.123380884062499e-05,0.0055887214839458466,0.0657842755317688,0.2999286651611328,0.7190146446228027,1
baseline,42,large,6381,6,8.83302855072543e-05,0.00939841940999031,0.031606703996658325,0.1901785284280777,0.8021706342697144,1
baseline,42,small,6381,11,0.00015110480308067054,0.012292468920350075,0.02053329348564148,0.4624433219432831,0.5209895372390747,1
baseline,42,medium,6381,4,0.00018587203521747142,0.013633489608764648,0.02007007598876953,0.19190539419651031,0.6573472619056702,1
baseline,42,large,6381,2,0.0008587591582909226,0.029304591938853264,0.04375609755516052,0.10463891178369522,0.8405290842056274,1
baseline,42,medium,6381,13,0.001649694750085473,0.04061643406748772,0.1394066959619522,0.5917572975158691,0.41678673028945923,0
baseline,42,large,6381,1,2.8541928259073757e-05,0.005342464428395033,0.019451022148132324,0.05746612697839737,0.9448163509368896,1
baseline,42,large,6381,12,0.008012725971639156,0.08951383084058762,0.0356658399105072,0.08511622250080109,0.674206554889679,0
baseline,42,small,6381,8,0.0003806205641012639,0.01950949989259243,0.0025860071182250977,0.0429438091814518,0.6679109334945679,1
baseline,42,small,6381,0,0.00012491375673562288,0.01117648184299469,0.016136258840560913,0.17689520120620728,0.7912597060203552,0
baseline,42,medium,4537,3,0.019470252096652985,0.1395358443260193,0.22159239649772644,1.3681257963180542,0.15358269214630127,0
baseline,42,large,4537,4,0.0013857807498425245,0.037226077169179916,0.037305593490600586,0.14230652153491974,0.7202015519142151,0
baseline,42,medium,4537,5,0.00014894199557602406,0.012204179540276527,0.012815907597541809,0.08909786492586136,0.8391197919845581,0
baseline,42,large,4537,6,0.001809233333915472,0.04253508523106575,0.14742912352085114,0.8322290182113647,0.5192652344703674,1
baseline,42,large,4537,1,0.00018411417840979993,0.013568867929279804,0.03174024820327759,0.12196660041809082,0.882910430431366,0
baseline,42,large,4537,0,3.7250847526593134e-05,0.006103347055613995,0.04045608639717102,0.08468429744243622,0.9194456934928894,0
baseline,42,large,4537,2,0.0002614614786580205,0.016169769689440727,0.011695623397827148,0.033940717577934265,0.9030773043632507,0
baseline,42,large,9896,0,0.0001821395562728867,0.013495909050107002,0.023387134075164795,0.05543800815939903,0.9192644357681274,0
baseline,42,large,7223,0,7.198061211965978e-05,0.00848413910716772,0.021370887756347656,0.024991322308778763,0.9691590070724487,1
baseline,42,large,1977,0,1.605321631359402e-05,0.004006646573543549,0.0507013201713562,0.08394952863454819,0.9221895337104797,1
baseline,42,large,5606,1,0.0007019077311269939,0.02649354189634323,0.06885188817977905,0.10048233717679977,0.8426525592803955,1
baseline,42,medium,5606,3,0.0017099825199693441,0.041351936757564545,0.010283894836902618,0.092641681432724,0.514783501625061,1
baseline,42,large,5606,2,9.475069236941636e-05,0.009733996354043484,0.035971760749816895,0.055350419133901596,0.9473537802696228,1
baseline,42,medium,5606,4,0.000699327327311039,0.026444798335433006,0.009675435721874237,0.0868147611618042,0.6953538060188293,1
baseline,42,large,5606,0,0.0030179047025740147,0.05493545904755592,0.09230226278305054,0.23517242074012756,0.6713553071022034,0
baseline,42,large,8368,1,1.8090970115736127e-05,0.004253348335623741,0.020925194025039673,0.04373941570520401,0.9522235989570618,1
baseline,42,large,8368,0,0.00115553371142596,0.03399314358830452,0.0742945671081543,0.0875328928232193,0.8660158514976501,0
baseline,42,large,6852,0,0.0006332609918899834,0.02516467683017254,0.05872061848640442,0.15760356187820435,0.8059241771697998,0
baseline,42,large,6852,1,0.001051460043527186,0.032426223158836365,0.041904568672180176,0.14625215530395508,0.7743357419967651,1
baseline,42,medium,6852,2,0.0004930171999149024,0.022203991189599037,0.07931967079639435,0.5045278668403625,0.6469025015830994,1
baseline,42,large,5879,0,0.0033697241451591253,0.05804932489991188,0.1139523983001709,0.20544850826263428,0.7990489602088928,0
baseline,42,medium,4439,1,0.0013261681888252497,0.03641659393906593,0.07290628552436829,0.4440063238143921,0.5165259838104248,1
baseline,42,medium,4439,0,0.0028445362113416195,0.05333419516682625,0.10389138013124466,0.6216480731964111,0.29639002680778503,1
baseline,42,medium,4439,3,0.0005987699260003865,0.024469776079058647,0.06081962585449219,0.49910348653793335,0.545466423034668,1
baseline,42,medium,4439,2,0.0037931681144982576,0.061588700860738754,0.0371323823928833,0.48647934198379517,0.15647205710411072,1
baseline,42,medium,3369,1,3.3666535728116287e-06,0.0018348442390561104,0.08556510508060455,0.4324248135089874,0.6054257750511169,1
baseline,42,large,3369,2,0.00012896904081571847,0.011356453411281109,0.3208528757095337,0.4029202461242676,0.672979474067688,0
baseline,42,small,3369,3,0.0038956853095442057,0.06241542473435402,0.1162080392241478,1.8442692756652832,0.18090203404426575,0
baseline,42,medium,3369,0,0.0005287565873004496,0.02299470826983452,0.04336864501237869,0.24780938029289246,0.7236076593399048,1
baseline,42,small,6062,1,7.596774958074093e-05,0.008715948089957237,0.007610555738210678,0.10615904629230499,0.7922259569168091,1
baseline,42,small,6062,2,0.0001694812235655263,0.01301849540323019,0.05698995664715767,1.0019855499267578,0.45034658908843994,1
baseline,42,large,6062,0,0.0002793398452922702,0.0167134627699852,0.0476718544960022,0.12774021923542023,0.8646200895309448,1
baseline,42,large,740,1,0.000265001377556473,0.016278862953186035,0.04042588174343109,0.17511849105358124,0.8264990448951721,0
baseline,42,large,740,0,4.814498970517889e-05,0.006938659120351076,0.0037396401166915894,0.012963403016328812,0.940165102481842,0
baseline,42,medium,4031,2,0.00025175666087307036,0.01586684212088585,0.05163507163524628,0.4080955982208252,0.6756082773208618,1
baseline,42,large,4031,1,0.0037755235098302364,0.061445288360118866,0.24878257513046265,0.2503989040851593,0.7314627170562744,0
baseline,42,large,4031,0,0.0006258481298573315,0.02501695603132248,0.05732381343841553,0.13077759742736816,0.8233379125595093,0
baseline,42,large,9724,0,0.0013323513558134437,0.03650138899683952,0.007616102695465088,0.008507276885211468,0.9104899168014526,1
baseline,42,large,7062,0,9.396707901032642e-05,0.009693661704659462,0.037379682064056396,0.041257042437791824,0.9471753835678101,0
baseline,42,large,9755,1,2.947767097793985e-05,0.005429334472864866,0.027014508843421936,0.112247534096241,0.887596607208252,1
baseline,42,large,9755,0,0.0004464178637135774,0.02112860232591629,0.02752763032913208,0.0409318283200264,0.9198161959648132,0
baseline,42,large,3808,0,0.00016299689013976604,0.012767023406922817,0.010927915573120117,0.011920180171728134,0.9622612595558167,0
baseline,42,large,5478,3,0.0010457400931045413,0.03233790397644043,0.12972278892993927,0.26689019799232483,0.6551287770271301,1
baseline,42,large,5478,2,8.713584247743711e-05,0.009334658272564411,0.04284527897834778,0.07243837416172028,0.9314035773277283,1
baseline,42,large,5478,1,0.0006485668709501624,0.025466976687312126,0.0727275013923645,0.15712881088256836,0.8174622058868408,1
baseline,42,large,5478,0,0.0005173699464648962,0.02274576760828495,0.05339735746383667,0.07261228561401367,0.9039878845214844,0
baseline,42,large,7905,0,0.00024123932234942913,0.015531880781054497,0.05489054322242737,0.09375457465648651,0.9063704609870911,1
baseline,42,large,8633,0,0.00012443898594938219,0.011155222542583942,0.05955207347869873,0.21120917797088623,0.8190581202507019,0
baseline,42,medium,8633,1,0.001318155089393258,0.03630640730261803,0.11859409511089325,0.5135465860366821,0.6340484023094177,0
baseline,42,large,8633,2,0.007372031919658184,0.08586053550243378,0.021785497665405273,0.048109568655490875,0.7630161046981812,0
baseline,42,large,8633,3,0.012838839553296566,0.11330860108137131,0.009647518396377563,0.016904424875974655,0.7204850316047668,0
baseline,42,large,1918,1,7.37991722417064e-05,0.008590644225478172,0.026041343808174133,0.12048013508319855,0.8723878264427185,1
baseline,42,large,1918,0,5.646268874670568e-08,0.00023761879128869623,0.02969963103532791,0.1067141443490982,0.8960111737251282,1
baseline,42,large,4405,1,0.0009580928017385304,0.030953073874115944,0.07974675297737122,0.19030152261257172,0.8128597736358643,0
baseline,42,large,4405,2,0.008648351766169071,0.0929965153336525,0.10710909962654114,0.3025365471839905,0.5399277210235596,1
baseline,42,large,4405,3,0.00016182175022549927,0.012720918282866478,0.002428799867630005,0.006401784718036652,0.9122405052185059,1
baseline,42,large,4405,0,0.0005946608143858612,0.024385668337345123,0.06620830297470093,0.12298206239938736,0.8469915390014648,0
baseline,42,large,8443,0,0.003370672231540084,0.05805749073624611,0.10734891891479492,0.2865728735923767,0.6397627592086792,1
baseline,42,large,6654,0,0.00032512081088498235,0.018031107261776924,0.04007178544998169,0.0505279079079628,0.938247799873352,1
baseline,42,large,6654,2,0.00011842389358207583,0.010882274247705936,0.034356892108917236,0.0975262001156807,0.9052062034606934,1
baseline,42,large,6654,1,0.0006441910518333316,0.025380918756127357,0.10321623086929321,0.2612275779247284,0.7420206069946289,1
baseline,42,large,1938,0,1.6345442418241873e-05,0.00404294952750206,0.028680801391601562,0.03137858584523201,0.9695116877555847,1
baseline,42,large,6190,0,0.002902592997997999,0.053875718265771866,0.10677230358123779,0.15183314681053162,0.8185514807701111,0
baseline,42,large,5214,0,0.00041738839354366064,0.02043008618056774,0.053854167461395264,0.06405924260616302,0.937063455581665,0
baseline,42,large,6020,0,9.601592864783015e-06,0.0030986436177045107,0.01670670509338379,0.021616633981466293,0.9787201285362244,0
baseline,42,medium,6020,1,2.6593334041535854e-05,0.0051568723283708096,0.026562154293060303,0.16255834698677063,0.8306567072868347,1
baseline,42,large,9192,0,0.0012320425594225526,0.03510046377778053,0.02123105525970459,0.027950268238782883,0.8995680212974548,0
baseline,42,large,849,0,0.0010425102664157748,0.03228792920708656,0.04318016767501831,0.06382787227630615,0.8325435519218445,0
baseline,42,medium,3003,3,0.004262446891516447,0.06528741866350174,0.12525399029254913,0.5749420523643494,0.3858603239059448,1
baseline,42,large,3003,2,0.0015340225072577596,0.03916659951210022,0.16019368171691895,0.7265117168426514,0.38852357864379883,1
baseline,42,large,3003,0,0.0007174115744419396,0.026784539222717285,0.09398949146270752,0.2594848871231079,0.7628669738769531,1
baseline,42,large,3003,1,0.00023162466823123395,0.015219219960272312,0.06250250339508057,0.16972699761390686,0.8365254402160645,1
baseline,42,large,7900,1,0.0016635858919471502,0.04078707844018936,0.06835412979125977,0.06874266266822815,0.8953636884689331,0
baseline,42,large,7900,0,0.00023639065329916775,0.015375001356005669,0.0536598265171051,0.12286704778671265,0.8715550899505615,0
baseline,42,large,8095,1,0.00010965618275804445,0.010471684858202934,0.04028421640396118,0.07491191476583481,0.9235674738883972,0
baseline,42,medium,8095,0,0.001013604225590825,0.03183715045452118,0.14791063964366913,0.780703604221344,0.3666311800479889,0
baseline,42,medium,3781,2,8.062864799285308e-05,0.008979345671832561,0.03578208014369011,0.37473592162132263,0.6188509464263916,1
baseline,42,large,3781,1,2.1461797587107867e-05,0.0046326881274580956,0.043852031230926514,0.06047423183917999,0.9426184892654419,1
baseline,42,large,3781,0,0.0003905516932718456,0.019762380048632622,0.020933210849761963,0.03260846436023712,0.920628011226654,1
baseline,42,large,5588,0,3.761295374715701e-05,0.006132939830422401,0.015648603439331055,0.0664454847574234,0.9307087659835815,1
baseline,42,large,8628,0,0.0006074116099625826,0.024645721539855003,0.06250268220901489,0.2061488926410675,0.7787886261940002,1
baseline,42,medium,8628,1,0.010890067555010319,0.10435548424720764,0.1840999722480774,1.0893579721450806,0.2014268934726715,0
baseline,42,large,8628,2,0.0010514582972973585,0.032426197081804276,0.08660823106765747,0.11729270219802856,0.8691690564155579,0
baseline,42,large,8628,3,0.0003833363007288426,0.019578976556658745,0.046469807624816895,0.0916941910982132,0.8853892087936401,1
baseline,42,large,5314,0,0.0009511930402368307,0.030841417610645294,0.09561926126480103,0.13228842616081238,0.8736725449562073,0
baseline,42,small,8292,4,0.0003449089708738029,0.018571725115180016,0.08968891203403473,4.250213146209717,0.10324138402938843,0
baseline,42,small,8292,3,0.0005317395552992821,0.023059478029608727,0.14777828752994537,3.7841508388519287,0.129029780626297,0
baseline,42,medium,8292,0,1.8338372683501802e-05,0.004282332491129637,0.004659272730350494,0.05710713565349579,0.8634604215621948,0
baseline,42,small,8292,5,0.0004033102886751294,0.020082587376236916,0.18312162160873413,11.445108413696289,0.022247618064284325,0
baseline,42,medium,8292,1,4.01068500650581e-05,0.006332996767014265,0.03554585203528404,0.5399758219718933,0.6317349076271057,0
baseline,42,small,8292,2,0.00038352818228304386,0.019583875313401222,0.10552450269460678,2.1118993759155273,0.23663049936294556,0
baseline,42,large,8338,0,0.00012927944771945477,0.01137011218816042,0.08440089225769043,0.1112709492444992,0.8924488425254822,0
baseline,42,large,6949,0,0.0033354032784700394,0.057752951979637146,0.030680060386657715,0.03913119435310364,0.8457099795341492,0
baseline,42,large,7154,0,7.397399258479709e-06,0.002719816053286195,0.08050629496574402,0.21553876996040344,0.8225990533828735,1
baseline,42,large,5940,5,7.998439104994759e-05,0.008943399414420128,0.01824401319026947,0.08130623400211334,0.9113523364067078,1
