experiment,seed,scale,batch_index,object_count,aux_used,aux_collisions,cosine_total_full,cosine_total_support,cosine_loc_full,cosine_loc_support,main_total_grad_norm,main_loc_grad_norm,center_grad_norm,center_support_positions,checkpoint_epoch,fingerprint
shared_e2e,42,small,0,3,3,0,0.090215303003788,0.26980525255203247,0.0942743718624115,0.27551352977752686,0.24934811890125275,0.2369929552078247,0.671787679195404,3,7,c16286f63961237b
shared_e2e,42,medium,0,9,9,0,0.04094935953617096,0.2220860868692398,0.04089689254760742,0.22198432683944702,0.1572975367307663,0.15391364693641663,0.5689736008644104,9,7,c16286f63961237b
shared_e2e,42,large,0,12,12,0,0.03288644179701805,0.16124771535396576,0.03469524532556534,0.1663719117641449,0.0853073000907898,0.08451670408248901,0.5779168009757996,12,7,c16286f63961237b
shared_e2e,42,large,1,2,2,0,0.011437793262302876,0.2229834347963333,0.01092922780662775,0.2071608006954193,0.15926912426948547,0.15839220583438873,1.088180422782898,2,7,c16286f63961237b
shared_e2e,42,medium,2,2,2,0,0.12770922482013702,0.40262433886528015,0.12335234880447388,0.3924561142921448,0.3681735694408417,0.3666597902774811,1.413219690322876,2,7,c16286f63961237b
shared_e2e,42,large,2,4,4,0,0.012880191206932068,0.17090252041816711,0.013241836801171303,0.17643165588378906,0.19664348661899567,0.1890297681093216,0.8562678098678589,4,7,c16286f63961237b
shared_e2e,42,medium,3,1,1,0,0.1935613751411438,0.44979047775268555,0.19365693628787994,0.45359426736831665,0.30022305250167847,0.28365322947502136,1.8071229457855225,1,7,c16286f63961237b
shared_e2e,42,large,3,4,4,0,0.017686117440462112,0.15847134590148926,0.017666159197688103,0.15618355572223663,0.16310150921344757,0.16129150986671448,0.9401967525482178,4,7,c16286f63961237b
shared_e2e,42,medium,4,4,4,0,0.005406287033110857,0.12220923602581024,0.005472954828292131,0.12423430383205414,0.3892040252685547,0.386806458234787,0.835856556892395,4,7,c16286f63961237b
shared_e2e,42,large,4,1,1,0,0.0034670487511903048,0.16375191509723663,0.0032555616926401854,0.14815489947795868,0.3450085520744324,0.3354441225528717,1.648242712020874,1,7,c16286f63961237b
shared_e2e,42,small,5,3,3,0,0.02719048038125038,0.23046723008155823,0.027456339448690414,0.23463311791419983,0.30397340655326843,0.3016597032546997,0.9048869609832764,3,7,c16286f63961237b
shared_e2e,42,medium,5,2,2,0,0.17056408524513245,0.3528600335121155,0.1703387349843979,0.35467231273651123,0.24990543723106384,0.24766241014003754,0.7236996293067932,2,7,c16286f63961237b
shared_e2e,42,large,5,2,2,0,-0.0020199378486722708,-0.06276094913482666,-0.0022583238314837217,-0.07424840331077576,0.2191392183303833,0.2138921171426773,1.2730261087417603,2,7,c16286f63961237b
shared_e2e,42,medium,6,1,1,0,0.0042502437718212605,0.25226399302482605,0.004258221946656704,0.23739737272262573,0.8178646564483643,0.8210994601249695,2.443119525909424,1,7,c16286f63961237b
shared_e2e,42,large,6,4,4,0,0.0038026850670576096,0.03006977029144764,0.00422133132815361,0.03234606608748436,0.14243966341018677,0.14135609567165375,0.9087491631507874,4,7,c16286f63961237b
shared_e2e,42,large,7,2,2,0,-7.778641884215176e-05,-0.00263969786465168,0.0007217831443995237,0.023879211395978928,0.14275525510311127,0.141647070646286,0.7075108289718628,2,7,c16286f63961237b
shared_e2e,42,large,8,3,3,0,0.04883747175335884,0.2922673225402832,0.04986864700913429,0.2940315306186676,0.16585738956928253,0.16626621782779694,0.9563549757003784,3,7,c16286f63961237b
shared_e2e,42,large,9,5,5,0,0.1418980062007904,0.34483790397644043,0.14067696034908295,0.34129515290260315,0.2266484498977661,0.22579166293144226,1.028868317604065,5,7,c16286f63961237b
shared_e2e,42,medium,10,1,1,0,-0.03884807974100113,-0.162102609872818,-0.04097999632358551,-0.17432352900505066,0.5642703771591187,0.5770476460456848,1.4450989961624146,1,7,c16286f63961237b
shared_e2e,42,medium,14,1,1,0,0.07554563134908676,0.2167341411113739,0.08953875303268433,0.25227874517440796,0.287151038646698,0.2837687134742737,1.586423397064209,1,7,c16286f63961237b
shared_e2e,42,medium,15,1,1,0,0.00010856395965674892,0.022062787786126137,0.0001289026258746162,0.02506563626229763,0.6289008259773254,0.6053571701049805,1.8842873573303223,1,7,c16286f63961237b
shared_e2e,42,medium,16,1,1,0,0.012814987450838089,0.12532426416873932,0.012252634391188622,0.11821690201759338,0.6988600492477417,0.6901997923851013,0.6830106973648071,1,7,c16286f63961237b
shared_e2e,42,small,19,4,4,0,0.08394423127174377,0.2555351257324219,0.08622565865516663,0.26521652936935425,0.16889239847660065,0.16370080411434174,0.4785156846046448,4,7,c16286f63961237b
shared_e2e,42,small,25,4,4,0,0.04400863125920296,0.1399935930967331,0.04498950392007828,0.14080439507961273,0.20260116457939148,0.19558367133140564,0.5944979786872864,4,7,c16286f63961237b
shared_e2e,42,small,29,4,4,0,0.035854633897542953,0.09493418037891388,0.03941066190600395,0.10389316082000732,0.285212904214859,0.27860915660858154,0.773328423500061,4,7,c16286f63961237b
shared_e2e,42,small,39,3,3,0,0.009245410561561584,0.2577067017555237,0.00893367175012827,0.24782423675060272,0.3324267566204071,0.3321165442466736,0.7325997352600098,3,7,c16286f63961237b
shared_e2e,42,small,41,2,2,0,0.005705678835511208,0.17547011375427246,0.005635459907352924,0.17399214208126068,0.5016546249389648,0.5049472451210022,1.0955177545547485,2,7,c16286f63961237b
shared_e2e,42,small,45,1,1,0,0.01680608280003071,0.1356733739376068,0.01733415015041828,0.13721857964992523,0.4972531795501709,0.4773382246494293,1.1514078378677368,1,7,c16286f63961237b
shared_e2e,42,small,46,5,5,0,0.009425231255590916,0.12708184123039246,0.009562958031892776,0.1351369321346283,0.5412287712097168,0.5461501479148865,0.5647066235542297,5,7,c16286f63961237b
shared_e2e,42,small,47,6,6,0,0.05027905851602554,0.23646962642669678,0.048512689769268036,0.23711881041526794,0.2441035360097885,0.24943336844444275,0.6003593802452087,6,7,c16286f63961237b
separate_e2e,42,small,0,3,3,0,0.0005009039305150509,0.003487030044198036,0.000614500604569912,0.00412977859377861,0.2328939437866211,0.22545760869979858,0.8989904522895813,3,7,c16286f63961237b
separate_e2e,42,medium,0,9,9,0,0.04502438008785248,0.2093057483434677,0.045601196587085724,0.20438003540039062,0.17286010086536407,0.1668418049812317,0.5223684310913086,9,7,c16286f63961237b
separate_e2e,42,large,0,12,12,0,0.039764076471328735,0.21762004494667053,0.040788568556308746,0.2201281636953354,0.07885009795427322,0.07598353177309036,0.5069617033004761,12,7,c16286f63961237b
separate_e2e,42,large,1,2,2,0,0.004236616659909487,0.2731131613254547,0.004375146236270666,0.303156316280365,0.17221873998641968,0.17017816007137299,1.0468653440475464,2,7,c16286f63961237b
separate_e2e,42,medium,2,2,2,0,0.02107991836965084,0.1386454701423645,0.01944664865732193,0.1442539244890213,0.2521689236164093,0.2301015406847,1.4429715871810913,2,7,c16286f63961237b
separate_e2e,42,large,2,4,4,0,0.0007706513279117644,0.13638249039649963,0.000753216037992388,0.1319950968027115,0.24231135845184326,0.24138347804546356,1.1237030029296875,4,7,c16286f63961237b
separate_e2e,42,medium,3,1,1,0,0.16176706552505493,0.4698486328125,0.16232147812843323,0.47485336661338806,0.308464914560318,0.29715901613235474,1.8805488348007202,1,7,c16286f63961237b
separate_e2e,42,large,3,4,4,0,0.010409541428089142,0.1472826898097992,0.010374280624091625,0.15065082907676697,0.13825112581253052,0.13544711470603943,0.7990515828132629,4,7,c16286f63961237b
separate_e2e,42,medium,4,4,4,0,0.0014667853247374296,0.012623650953173637,0.0011493125930428505,0.009712954983115196,0.311308354139328,0.31118449568748474,1.178600788116455,4,7,c16286f63961237b
separate_e2e,42,large,4,1,1,0,0.01867731660604477,0.22101688385009766,0.019668014720082283,0.22120147943496704,0.26969167590141296,0.25732266902923584,1.3669555187225342,1,7,c16286f63961237b
separate_e2e,42,small,5,3,3,0,0.09090488404035568,0.30175235867500305,0.09047113358974457,0.29882490634918213,0.21695496141910553,0.21467600762844086,0.8802452087402344,3,7,c16286f63961237b
separate_e2e,42,medium,5,2,2,0,-0.034049760550260544,-0.12505728006362915,-0.03449136018753052,-0.12465529143810272,0.2803807258605957,0.2755989134311676,0.7401944398880005,2,7,c16286f63961237b
separate_e2e,42,large,5,2,2,0,-0.009001634083688259,-0.1070149838924408,-0.008823157288134098,-0.10240037739276886,0.1511053889989853,0.14277182519435883,0.8974002599716187,2,7,c16286f63961237b
separate_e2e,42,medium,6,1,1,0,0.038463011384010315,0.19420327246189117,0.04149102792143822,0.21613168716430664,0.822454571723938,0.8166589736938477,1.264668345451355,1,7,c16286f63961237b
separate_e2e,42,large,6,4,4,0,0.00033401569817215204,0.008882157504558563,0.0014125140151008964,0.03844574838876724,0.14727841317653656,0.14649993181228638,0.8594692945480347,4,7,c16286f63961237b
separate_e2e,42,large,7,2,2,0,0.00011689944949466735,0.010985307395458221,6.302089605014771e-05,0.00588867487385869,0.19007106125354767,0.18791696429252625,0.9410617351531982,2,7,c16286f63961237b
separate_e2e,42,large,8,3,3,0,0.015273740515112877,0.1586647927761078,0.0159164946526289,0.13915278017520905,0.18355955183506012,0.20945864915847778,0.9199692606925964,3,7,c16286f63961237b
separate_e2e,42,large,9,5,5,0,0.034857477992773056,0.23785334825515747,0.034744370728731155,0.23888054490089417,0.17218373715877533,0.1720665693283081,0.6729501485824585,5,7,c16286f63961237b
separate_e2e,42,medium,10,1,1,0,0.05422702431678772,0.395585834980011,0.054563768208026886,0.3924097716808319,0.4321158826351166,0.4207202196121216,2.404352903366089,1,7,c16286f63961237b
separate_e2e,42,medium,14,1,1,0,0.07676471769809723,0.3923773169517517,0.07574809342622757,0.3964211344718933,0.31259679794311523,0.3220902681350708,1.2993501424789429,1,7,c16286f63961237b
separate_e2e,42,medium,15,1,1,0,0.04390236735343933,0.328485369682312,0.04672306776046753,0.344031423330307,0.36599117517471313,0.33833152055740356,1.722273349761963,1,7,c16286f63961237b
separate_e2e,42,medium,16,1,1,0,0.0005954601219855249,0.06318013370037079,0.0005995705723762512,0.0632210448384285,0.9640180468559265,0.9559264779090881,0.8968834280967712,1,7,c16286f63961237b
separate_e2e,42,small,19,4,4,0,0.04150589555501938,0.15815013647079468,0.040727414190769196,0.15900829434394836,0.1210409626364708,0.11318475753068924,0.5286563038825989,4,7,c16286f63961237b
separate_e2e,42,small,25,4,4,0,0.06630760431289673,0.17852768301963806,0.06625987589359283,0.17340615391731262,0.1717965006828308,0.1647222638130188,0.5102709531784058,4,7,c16286f63961237b
separate_e2e,42,small,29,4,4,0,0.04594212770462036,0.11511670053005219,0.048030540347099304,0.11841371655464172,0.25827309489250183,0.2549360394477844,0.6538413763046265,4,7,c16286f63961237b
separate_e2e,42,small,39,3,3,0,-0.0008537338580936193,-0.003884878009557724,-0.0016430877149105072,-0.007508096285164356,0.31551212072372437,0.3103553056716919,0.49522876739501953,3,7,c16286f63961237b
separate_e2e,42,small,41,2,2,0,0.03286227211356163,0.14122462272644043,0.03233551234006882,0.1383690983057022,0.5902031064033508,0.5762510299682617,0.9696425199508667,2,7,c16286f63961237b
separate_e2e,42,small,45,1,1,0,-3.729417221620679e-05,-0.0036972519010305405,-8.107791654765606e-05,-0.007480386644601822,0.3138752579689026,0.2800918221473694,0.858563244342804,1,7,c16286f63961237b
separate_e2e,42,small,46,5,5,0,0.007077413611114025,0.06359903514385223,0.006452830974012613,0.05850345641374588,0.3025973439216614,0.29545193910598755,0.48929694294929504,5,7,c16286f63961237b
separate_e2e,42,small,47,6,6,0,0.028162730857729912,0.15821953117847443,0.028616562485694885,0.16033783555030823,0.23160140216350555,0.22527673840522766,0.5047153830528259,6,7,c16286f63961237b
shared_e2e,43,small,0,3,3,0,0.019578032195568085,0.1496742069721222,0.020002976059913635,0.15081652998924255,0.47568076848983765,0.47060689330101013,1.0388603210449219,3,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0,9,9,0,0.044837504625320435,0.16617737710475922,0.0469186007976532,0.19562406837940216,0.18488723039627075,0.1691112220287323,0.49004438519477844,9,7,d1b7a9f86e187c5e
shared_e2e,43,large,0,12,12,0,0.017144715413451195,0.1519652158021927,0.017186786979436874,0.15122854709625244,0.11515222489833832,0.11405868083238602,0.4777831435203552,12,7,d1b7a9f86e187c5e
shared_e2e,43,large,1,2,2,0,0.0077759637497365475,0.3135169744491577,0.007527482230216265,0.3668424189090729,0.17330093681812286,0.16842298209667206,0.7678059339523315,2,7,d1b7a9f86e187c5e
shared_e2e,43,medium,2,2,2,0,0.008508115075528622,0.04911944642663002,0.008532125502824783,0.0537712387740612,0.24265840649604797,0.24030852317810059,1.6752034425735474,2,7,d1b7a9f86e187c5e
shared_e2e,43,large,2,4,4,0,0.004915519617497921,0.11700136959552765,0.004997072275727987,0.11680847406387329,0.23969487845897675,0.2332116961479187,1.0033738613128662,4,7,d1b7a9f86e187c5e
shared_e2e,43,medium,3,1,1,0,0.023962324485182762,0.4618433117866516,0.023264043033123016,0.4465424418449402,0.365687757730484,0.36144596338272095,1.8484965562820435,1,7,d1b7a9f86e187c5e
shared_e2e,43,large,3,4,4,0,0.005705171264708042,0.19082000851631165,0.0057842424139380455,0.20363861322402954,0.12506960332393646,0.12334764003753662,0.8887951374053955,4,7,d1b7a9f86e187c5e
shared_e2e,43,medium,4,4,4,0,-0.04117591306567192,-0.25933244824409485,-0.042649418115615845,-0.2668008804321289,0.32869866490364075,0.32214081287384033,1.2083101272583008,4,7,d1b7a9f86e187c5e
shared_e2e,43,large,4,1,1,0,0.00020991131896153092,0.1348555088043213,0.00022353633539751172,0.13607385754585266,0.38353171944618225,0.32965603470802307,1.693326473236084,1,7,d1b7a9f86e187c5e
shared_e2e,43,small,5,3,3,0,0.049297355115413666,0.26825863122940063,0.04745769873261452,0.25642234086990356,0.3432053029537201,0.3455418646335602,0.8544965982437134,3,7,d1b7a9f86e187c5e
shared_e2e,43,medium,5,2,2,0,0.02108633704483509,0.17332036793231964,0.021863289177417755,0.17831847071647644,0.3044809401035309,0.29993000626564026,0.8274865746498108,2,7,d1b7a9f86e187c5e
shared_e2e,43,large,5,2,2,0,-0.013300225138664246,-0.12300412356853485,-0.0166267529129982,-0.15264013409614563,0.19618959724903107,0.1914428323507309,1.5908743143081665,2,7,d1b7a9f86e187c5e
shared_e2e,43,medium,6,1,1,0,0.23021112382411957,0.44354158639907837,0.23426085710525513,0.4481685757637024,0.5418503880500793,0.5397882461547852,0.8168532848358154,1,7,d1b7a9f86e187c5e
shared_e2e,43,large,6,4,4,0,0.006481783464550972,0.13509158790111542,0.006670835427939892,0.14032238721847534,0.16126394271850586,0.15884090960025787,0.8603687882423401,4,7,d1b7a9f86e187c5e
shared_e2e,43,large,7,2,2,0,-0.00022597034694626927,-0.053746044635772705,-0.00020813249284401536,-0.06338666379451752,0.15315771102905273,0.1502717137336731,0.5809166431427002,2,7,d1b7a9f86e187c5e
shared_e2e,43,large,8,3,3,0,0.0263267420232296,0.21828943490982056,0.025836113840341568,0.2619122564792633,0.1822243481874466,0.17859764397144318,0.8865222334861755,3,7,d1b7a9f86e187c5e
shared_e2e,43,large,9,5,5,0,0.012380757369101048,0.05496836081147194,0.011671668849885464,0.0524042509496212,0.34843775629997253,0.3487381637096405,1.0965380668640137,5,7,d1b7a9f86e187c5e
shared_e2e,43,medium,10,1,1,0,0.10294943302869797,0.4211342930793762,0.10473804920911789,0.4243702292442322,0.44150352478027344,0.42980095744132996,1.82027268409729,1,7,d1b7a9f86e187c5e
shared_e2e,43,medium,14,1,1,0,-0.06769994646310806,-0.18903887271881104,-0.0697808489203453,-0.19260995090007782,0.36670228838920593,0.35899651050567627,1.0629628896713257,1,7,d1b7a9f86e187c5e
shared_e2e,43,medium,15,1,1,0,0.030136140063405037,0.20828697085380554,0.032130856066942215,0.21650353074073792,0.5245842933654785,0.5094583630561829,1.1460832357406616,1,7,d1b7a9f86e187c5e
shared_e2e,43,medium,16,1,1,0,-0.0036376824136823416,-0.0992642268538475,-0.0036945536267012358,-0.10018760710954666,0.746581494808197,0.739741325378418,0.6413803696632385,1,7,d1b7a9f86e187c5e
shared_e2e,43,small,19,4,4,0,0.02842826582491398,0.10910435020923615,0.025141965597867966,0.09816887974739075,0.26528820395469666,0.26126623153686523,0.397794246673584,4,7,d1b7a9f86e187c5e
shared_e2e,43,small,25,4,4,0,0.027778955176472664,0.17318053543567657,0.027720067650079727,0.17066779732704163,0.26513364911079407,0.25879403948783875,0.5316655039787292,4,7,d1b7a9f86e187c5e
shared_e2e,43,small,29,4,4,0,0.001855566632002592,0.013335008174180984,0.0021936818957328796,0.01563097909092903,0.2608615458011627,0.25818175077438354,0.7473458647727966,4,7,d1b7a9f86e187c5e
shared_e2e,43,small,39,3,3,0,0.004676711279898882,0.01051576342433691,0.0020661097951233387,0.004594411700963974,0.33038318157196045,0.3323154151439667,0.6245002746582031,3,7,d1b7a9f86e187c5e
shared_e2e,43,small,41,2,2,0,0.0005207406356930733,0.004422126337885857,-0.0007015406154096127,-0.006107009947299957,0.4306860864162445,0.40427830815315247,1.077396035194397,2,7,d1b7a9f86e187c5e
shared_e2e,43,small,45,1,1,0,-0.014303894713521004,-0.14609408378601074,-0.015168987214565277,-0.1515790820121765,0.8996966481208801,0.8893844485282898,0.8814622163772583,1,7,d1b7a9f86e187c5e
shared_e2e,43,small,46,5,5,0,0.05949937552213669,0.18216243386268616,0.05970480293035507,0.18108567595481873,0.14026707410812378,0.13689588010311127,0.7261322736740112,5,7,d1b7a9f86e187c5e
shared_e2e,43,small,47,6,6,0,0.03518219292163849,0.1292724460363388,0.0355495922267437,0.13012325763702393,0.24691352248191833,0.24329499900341034,0.6196542978286743,6,7,d1b7a9f86e187c5e
separate_e2e,43,small,0,3,3,0,0.046501513570547104,0.15349343419075012,0.04827994853258133,0.15294142067432404,0.3396143317222595,0.3137522041797638,0.8263788819313049,3,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0,9,9,0,0.04042835906147957,0.1524268239736557,0.0400887168943882,0.14883103966712952,0.13459378480911255,0.13202276825904846,0.44911256432533264,9,7,d1b7a9f86e187c5e
separate_e2e,43,large,0,12,12,0,0.02447362057864666,0.09134028851985931,0.022572673857212067,0.09811444580554962,0.2455475628376007,0.2182220071554184,0.4738038182258606,12,7,d1b7a9f86e187c5e
separate_e2e,43,large,1,2,2,0,0.022439846768975258,0.3633514940738678,0.022903483361005783,0.35454803705215454,0.1667982041835785,0.16386763751506805,1.333785891532898,2,7,d1b7a9f86e187c5e
separate_e2e,43,medium,2,2,2,0,0.003943913150578737,0.07770541310310364,0.003859393997117877,0.0797741487622261,0.5499104261398315,0.5065677762031555,1.327810525894165,2,7,d1b7a9f86e187c5e
separate_e2e,43,large,2,4,4,0,-0.0025242692790925503,-0.07015861570835114,-0.002822025679051876,-0.0747665986418724,0.2297910451889038,0.2287818044424057,1.2884989976882935,4,7,d1b7a9f86e187c5e
separate_e2e,43,medium,3,1,1,0,0.034429702907800674,0.5516957640647888,0.03423624485731125,0.5405998826026917,0.28796207904815674,0.27426087856292725,1.5654888153076172,1,7,d1b7a9f86e187c5e
separate_e2e,43,large,3,4,4,0,-0.005016684532165527,-0.0860854759812355,-0.005207659676671028,-0.08970330655574799,0.1939249336719513,0.18454740941524506,0.8472002744674683,4,7,d1b7a9f86e187c5e
separate_e2e,43,medium,4,4,4,0,0.014361285604536533,0.1259835958480835,0.014378104358911514,0.12970498204231262,0.3684970438480377,0.3629719913005829,0.9062243700027466,4,7,d1b7a9f86e187c5e
separate_e2e,43,large,4,1,1,0,0.00044564722338691354,0.11678609997034073,0.0004215123481117189,0.10416444391012192,0.5575716495513916,0.5321645140647888,1.4751883745193481,1,7,d1b7a9f86e187c5e
separate_e2e,43,small,5,3,3,0,0.05283685028553009,0.20736142992973328,0.05236725136637688,0.21248376369476318,0.27682003378868103,0.2687245011329651,0.8753599524497986,3,7,d1b7a9f86e187c5e
separate_e2e,43,medium,5,2,2,0,0.01424009632319212,0.08122573047876358,0.012153422459959984,0.07054290175437927,0.2817699909210205,0.275638222694397,1.029279112815857,2,7,d1b7a9f86e187c5e
separate_e2e,43,large,5,2,2,0,0.0002690312103368342,0.018624160438776016,0.00017597150872461498,0.009690526872873306,0.4294431507587433,0.42704176902770996,1.0617427825927734,2,7,d1b7a9f86e187c5e
separate_e2e,43,medium,6,1,1,0,0.1530728042125702,0.47325944900512695,0.15243367850780487,0.4568687081336975,0.43890827894210815,0.42166799306869507,1.2582224607467651,1,7,d1b7a9f86e187c5e
separate_e2e,43,large,6,4,4,0,0.019401026889681816,0.15120242536067963,0.01937801204621792,0.1531543731689453,0.12233414500951767,0.12025673687458038,0.8148454427719116,4,7,d1b7a9f86e187c5e
separate_e2e,43,large,7,2,2,0,0.0015085192862898111,0.06286080181598663,0.0008284688810817897,0.049027372151613235,0.1561381220817566,0.1542658656835556,0.5966876745223999,2,7,d1b7a9f86e187c5e
separate_e2e,43,large,8,3,3,0,-0.012822899036109447,-0.06963102519512177,-0.013162223622202873,-0.07571878284215927,0.25183039903640747,0.23964951932430267,0.7665598392486572,3,7,d1b7a9f86e187c5e
separate_e2e,43,large,9,5,5,0,0.004572237841784954,0.14111585915088654,0.004386731889098883,0.13678157329559326,0.22755861282348633,0.2263665497303009,0.9864075183868408,5,7,d1b7a9f86e187c5e
separate_e2e,43,medium,10,1,1,0,0.029375355690717697,0.3197764754295349,0.02870398759841919,0.3215625286102295,0.4360371530056,0.4185727536678314,2.1341969966888428,1,7,d1b7a9f86e187c5e
separate_e2e,43,medium,14,1,1,0,-0.004844858311116695,-0.08832147717475891,-0.0047347950749099255,-0.09069781005382538,0.5048276782035828,0.4898238182067871,1.3176777362823486,1,7,d1b7a9f86e187c5e
separate_e2e,43,medium,15,1,1,0,0.009618988260626793,0.18795549869537354,0.009839922189712524,0.19387048482894897,0.4463491141796112,0.43290162086486816,1.5004160404205322,1,7,d1b7a9f86e187c5e
separate_e2e,43,medium,16,1,1,0,-0.0001537380157969892,-0.06269769370555878,-0.00018637481844052672,-0.0746639147400856,0.6068341732025146,0.596900463104248,0.8758825659751892,1,7,d1b7a9f86e187c5e
separate_e2e,43,small,19,4,4,0,0.006203839089721441,0.02209421992301941,0.004955167882144451,0.01766030862927437,0.458501398563385,0.4548456370830536,0.3801114559173584,4,7,d1b7a9f86e187c5e
separate_e2e,43,small,25,4,4,0,-0.012463727965950966,-0.04825372248888016,-0.012777570635080338,-0.04953180253505707,0.3065771162509918,0.3050272762775421,0.5337429046630859,4,7,d1b7a9f86e187c5e
