experiment,seed,scale,iou_threshold,AP,checkpoint_epoch,fingerprint
baseline,42,small,0.5,0.12315017216007315,7,c16286f63961237b
baseline,42,medium,0.5,0.1477322681652451,7,c16286f63961237b
baseline,42,large,0.5,0.15960492475638297,7,c16286f63961237b
baseline,42,small,0.55,0.11667452459531667,7,c16286f63961237b
baseline,42,medium,0.55,0.14021838099691672,7,c16286f63961237b
baseline,42,large,0.55,0.15179534859462415,7,c16286f63961237b
baseline,42,small,0.6,0.11667452459531667,7,c16286f63961237b
baseline,42,medium,0.6,0.10350516464325694,7,c16286f63961237b
baseline,42,large,0.6,0.14468207047300327,7,c16286f63961237b
baseline,42,small,0.65,0.07697626905547697,7,c16286f63961237b
baseline,42,medium,0.65,0.08597995608385472,7,c16286f63961237b
baseline,42,large,0.65,0.14196063279273444,7,c16286f63961237b
baseline,42,small,0.7,0.054167321494054156,7,c16286f63961237b
baseline,42,medium,0.7,0.0754240724619742,7,c16286f63961237b
baseline,42,large,0.7,0.12080777255395925,7,c16286f63961237b
baseline,42,small,0.75,0.054167321494054156,7,c16286f63961237b
baseline,42,medium,0.75,0.06459428504224028,7,c16286f63961237b
baseline,42,large,0.75,0.10664998202454813,7,c16286f63961237b
baseline,42,small,0.8,0.001885902876001886,7,c16286f63961237b
baseline,42,medium,0.8,0.055053468945795686,7,c16286f63961237b
baseline,42,large,0.8,0.08114767162042492,7,c16286f63961237b
baseline,42,small,0.85,0.0,7,c16286f63961237b
baseline,42,medium,0.85,0.03341655068868231,7,c16286f63961237b
baseline,42,large,0.85,0.06311997994721305,7,c16286f63961237b
baseline,42,small,0.9,0.0,7,c16286f63961237b
baseline,42,medium,0.9,0.005693069306930693,7,c16286f63961237b
baseline,42,large,0.9,0.015933172614083134,7,c16286f63961237b
baseline,42,small,0.95,0.0,7,c16286f63961237b
baseline,42,medium,0.95,0.0,7,c16286f63961237b
baseline,42,large,0.95,0.00044973465038869036,7,c16286f63961237b
shared_detach,42,small,0.5,0.1327344965290486,7,c16286f63961237b
shared_detach,42,medium,0.5,0.1619110858663255,7,c16286f63961237b
shared_detach,42,large,0.5,0.2067157186354751,7,c16286f63961237b
