experiment,seed,scale,checkpoint_epoch,fingerprint,AP,AP50,AP75,AR
baseline,42,small,7,c16286f63961237b,0.05436960235238075,0.12315017216007315,0.054167321494054156,0.07037036865949631
baseline,42,medium,7,c16286f63961237b,0.07116172462701797,0.1477322681652451,0.06459428504224028,0.22291666269302368
baseline,42,large,7,c16286f63961237b,0.0986151322722435,0.15960492475638297,0.10664998202454813,0.4840596318244934
shared_detach,42,small,7,c16286f63961237b,0.04052039235830307,0.1327344965290486,0.004181072869191681,0.08271604776382446
shared_detach,42,medium,7,c16286f63961237b,0.08701536804437637,0.1619110858663255,0.10213007927975444,0.1693541705608368
shared_detach,42,large,7,c16286f63961237b,0.13636119663715363,0.2067157186354751,0.15992024879161232,0.5076001286506653
shared_e2e,42,small,7,c16286f63961237b,0.053913380950689316,0.10231821730267401,0.06767413583463609,0.08765432238578796
shared_e2e,42,medium,7,c16286f63961237b,0.09089261293411255,0.14819235650743848,0.10301641046316469,0.22816666960716248
shared_e2e,42,large,7,c16286f63961237b,0.10778437554836273,0.17077515147236136,0.10826840878215138,0.49762794375419617
separate_e2e,42,small,7,c16286f63961237b,0.043107762932777405,0.10964429776310966,0.050009167583425,0.06203703582286835
separate_e2e,42,medium,7,c16286f63961237b,0.11469429731369019,0.2184165792437231,0.13432751665702244,0.26470834016799927
separate_e2e,42,large,7,c16286f63961237b,0.1247098445892334,0.2018129654630344,0.12002036266640985,0.5595389604568481
baseline,43,small,7,d1b7a9f86e187c5e,0.04728958383202553,0.10719698954022387,0.04198479549447481,0.07006172835826874
baseline,43,medium,7,d1b7a9f86e187c5e,0.11386799067258835,0.21900125745193427,0.11019299979506214,0.2279375046491623
baseline,43,large,7,d1b7a9f86e187c5e,0.17651598155498505,0.2553257089500939,0.2072601471497788,0.58124178647995
shared_detach,43,small,7,d1b7a9f86e187c5e,0.030380984768271446,0.0818060972763943,0.020917806066320915,0.0882716029882431
shared_detach,43,medium,7,d1b7a9f86e187c5e,0.07370656728744507,0.14527518252882846,0.062155453644558926,0.24383333325386047
shared_detach,43,large,7,d1b7a9f86e187c5e,0.1464068442583084,0.2536212961639276,0.16326024832549896,0.5158500671386719
shared_e2e,43,small,7,d1b7a9f86e187c5e,0.058462802320718765,0.16208287495416207,0.01623367464951623,0.09290123730897903
shared_e2e,43,medium,7,d1b7a9f86e187c5e,0.12041487544775009,0.2009873161410847,0.1310086895993128,0.2433333396911621
shared_e2e,43,large,7,d1b7a9f86e187c5e,0.1408754289150238,0.21495285681052717,0.13847997295582762,0.4764938950538635
separate_e2e,43,small,7,d1b7a9f86e187c5e,0.04733565077185631,0.09807742679029807,0.036865908813103525,0.0824074074625969
separate_e2e,43,medium,7,d1b7a9f86e187c5e,0.08129234611988068,0.14975600504692405,0.08810113597861488,0.21808333694934845
separate_e2e,43,large,7,d1b7a9f86e187c5e,0.12277083098888397,0.18416876474885932,0.1369458908197846,0.5386979579925537
baseline,44,small,7,9fffb715f8680daa,0.03692036494612694,0.07890701599710798,0.028602860286028594,0.05216049402952194
baseline,44,medium,7,9fffb715f8680daa,0.05652652308344841,0.0961213626747983,0.06038650312275814,0.20872916281223297
baseline,44,large,7,9fffb715f8680daa,0.10014086216688156,0.1642199147437843,0.12857864831614624,0.40731340646743774
shared_detach,44,small,7,9fffb715f8680daa,0.045425884425640106,0.08882106338910843,0.04400440044004399,0.0654321014881134
shared_detach,44,medium,7,9fffb715f8680daa,0.061135224997997284,0.12241429759975657,0.04975268495232597,0.18922916054725647
shared_detach,44,large,7,9fffb715f8680daa,0.10117674618959427,0.18584936278688535,0.08779839180222204,0.5059220790863037
shared_e2e,44,small,7,9fffb715f8680daa,0.038119249045848846,0.12073072691884573,0.012336947980512335,0.07037036865949631
shared_e2e,44,medium,7,9fffb715f8680daa,0.07046348601579666,0.12765712853896893,0.06327487959349905,0.21422916650772095
shared_e2e,44,large,7,9fffb715f8680daa,0.0934586152434349,0.13896970573070047,0.10000206949820278,0.5196375250816345
separate_e2e,44,small,7,9fffb715f8680daa,0.03760567680001259,0.09010180457741881,0.03096023888103096,0.07191357761621475
separate_e2e,44,medium,7,9fffb715f8680daa,0.08439387381076813,0.14592646404279475,0.09415499200348872,0.22064583003520966
separate_e2e,44,large,7,9fffb715f8680daa,0.10417474061250687,0.16385254173261057,0.1303775839637372,0.5448316931724548
