experiment,seed,scale,checkpoint_epoch,fingerprint,AP,AP50,AP75,AR
baseline,42,small,7,c16286f63961237b,0.0543696023523807,0.1231501721600731,0.0541673214940541,0.0703703686594963
baseline,42,medium,7,c16286f63961237b,0.0711617246270179,0.1477322681652451,0.0645942850422402,0.2229166626930236
baseline,42,large,7,c16286f63961237b,0.0986151322722435,0.1596049247563829,0.1066499820245481,0.4840596318244934
shared_e2e,42,small,7,c16286f63961237b,0.0539133809506893,0.102318217302674,0.067674135834636,0.0876543223857879
shared_e2e,42,medium,7,c16286f63961237b,0.0908926129341125,0.1481923565074384,0.1030164104631646,0.2281666696071624
shared_e2e,42,large,7,c16286f63961237b,0.1077843755483627,0.1707751514723613,0.1082684087821513,0.4976279437541961
baseline,43,small,7,d1b7a9f86e187c5e,0.0472895838320255,0.1071969895402238,0.0419847954944748,0.0700617283582687
baseline,43,medium,7,d1b7a9f86e187c5e,0.1138679906725883,0.2190012574519342,0.1101929997950621,0.2279375046491623
baseline,43,large,7,d1b7a9f86e187c5e,0.176515981554985,0.2553257089500939,0.2072601471497788,0.58124178647995
shared_e2e,43,small,7,d1b7a9f86e187c5e,0.0584628023207187,0.162082874954162,0.0162336746495162,0.092901237308979
shared_e2e,43,medium,7,d1b7a9f86e187c5e,0.12041487544775,0.2009873161410847,0.1310086895993128,0.2433333396911621
shared_e2e,43,large,7,d1b7a9f86e187c5e,0.1408754289150238,0.2149528568105271,0.1384799729558276,0.4764938950538635
baseline,44,small,7,9fffb715f8680daa,0.0369203649461269,0.0789070159971079,0.0286028602860285,0.0521604940295219
baseline,44,medium,7,9fffb715f8680daa,0.0565265230834484,0.0961213626747983,0.0603865031227581,0.2087291628122329
baseline,44,large,7,9fffb715f8680daa,0.1001408621668815,0.1642199147437843,0.1285786483161462,0.4073134064674377
shared_e2e,44,small,7,9fffb715f8680daa,0.0381192490458488,0.1207307269188457,0.0123369479805123,0.0703703686594963
shared_e2e,44,medium,7,9fffb715f8680daa,0.0704634860157966,0.1276571285389689,0.063274879593499,0.2142291665077209
shared_e2e,44,large,7,9fffb715f8680daa,0.0934586152434349,0.1389697057307004,0.1000020694982027,0.5196375250816345
shared_e2e_rep_projected,42,small,7,c16286f63961237b,0.0479336231946945,0.1032269613515973,0.0481068940227355,0.0808641985058784
shared_e2e_rep_projected,42,medium,7,c16286f63961237b,0.1444925665855407,0.2303416886893488,0.1737766365855747,0.2646250128746032
shared_e2e_rep_projected,42,large,7,c16286f63961237b,0.1366022378206253,0.22779305108403,0.1303887658111065,0.5486776232719421
shared_e2e_rep_projected,43,small,7,d1b7a9f86e187c5e,0.0453084670007228,0.1161462971693994,0.0134946828016134,0.0922839492559433
shared_e2e_rep_projected,43,medium,7,d1b7a9f86e187c5e,0.1212650910019874,0.2125538459659091,0.1043205227027715,0.2865208387374878
shared_e2e_rep_projected,43,large,7,d1b7a9f86e187c5e,0.1767553687095642,0.2548179067344404,0.1969946328700423,0.5869263410568237
shared_e2e_rep_projected,44,small,7,9fffb715f8680daa,0.0452236533164978,0.0870403279644203,0.0485619990570485,0.0743827149271965
shared_e2e_rep_projected,44,medium,7,9fffb715f8680daa,0.0848601683974266,0.1540958816857062,0.0932227710217316,0.2573333382606506
shared_e2e_rep_projected,44,large,7,9fffb715f8680daa,0.1042701750993728,0.1649931663045329,0.1352691545726589,0.4798386096954345
