experiment,seed,iou_threshold,TP,Duplicate FP,Localization FP,Classification FP,Background FP,Missed GT,Precision_micro,Recall_micro,Recall_COCO_macro,AP_L
baseline,42,0.5,156,1610,550,4425,1133,34,0.019812039624079247,0.8210526315789474,0.6551499908542162,0.15973705628121285
baseline,42,0.75,129,765,1454,3215,2311,61,0.016383032766065533,0.6789473684210526,0.5418155524053411,0.10667980278903241
baseline,43,0.5,171,1217,463,4951,1022,19,0.021855828220858894,0.9,0.8104665492957747,0.25545090991545605
baseline,43,0.75,144,437,1319,3140,2784,46,0.018404907975460124,0.7578947368421053,0.6549200887141028,0.20730420391432974
baseline,44,0.5,141,1627,531,4000,966,49,0.019408121128699243,0.7421052631578947,0.5620655752698006,0.16424773294729145
baseline,44,0.75,119,714,1491,2532,2412,71,0.016373142542652725,0.6263157894736842,0.4680269114688129,0.12858172674291624
moment_guided,42,0.5,159,1462,575,4407,1060,31,0.02074905389534125,0.8368421052631579,0.6786970687762942,0.16873994242647675
moment_guided,42,0.75,130,603,1508,2819,2602,60,0.016966849386583136,0.6842105263157895,0.501190552405341,0.10955430288890579
moment_guided,43,0.5,154,1494,416,4319,1061,36,0.020687802256851157,0.8105263157894737,0.6368220687762941,0.162156805647332
moment_guided,43,0.75,128,677,1292,2758,2592,62,0.017188129448099904,0.6736842105263158,0.47295808944576556,0.11287175938918508
moment_guided,44,0.5,155,1456,381,4352,1262,35,0.0203786484354457,0.8157894736842105,0.6662194759465887,0.1668181363065792
moment_guided,44,0.75,132,574,1310,2877,2717,58,0.017345597897503284,0.6947368421052632,0.5699769068959208,0.1347385668137776
