experiment,seed,checkpoint_epoch,image_id,scale,query_index,target_index,target_area_pixels,center_error_x,center_error_y,center_error_l1,covariance_error_l1,predicted_var_x,predicted_var_y,target_var_x,target_var_y,off_diagonal_abs,valid_attention_mass
baseline,42,7,6381,medium,9,16,2000.0009765625,0.0034505128860473633,0.06272748112678528,0.06617799401283264,0.016190407797694206,0.005239218473434448,0.004949398338794708,0.0005333339213393629,0.0014814813621342182,0.0040083033964037895,0.8956862092018127
baseline,42,7,6381,medium,39,15,3932.999267578125,0.010036230087280273,0.012007355690002441,0.022043585777282715,0.010422678664326668,0.002912093186751008,0.005411515478044748,0.0010829998645931482,0.0028213325422257185,0.0030017010867595673,0.7841383218765259
baseline,42,7,6381,medium,43,9,4532.00146484375,0.011182725429534912,0.02655506134033203,0.03773778676986694,0.007220881525427103,0.0018872360233217478,0.003683669725432992,0.0006453337846323848,0.00628681480884552,0.001687917043454945,0.8064612746238708
baseline,42,7,6381,large,56,7,11502.00390625,0.001961618661880493,0.018960535526275635,0.020922154188156128,0.010889348573982716,0.0012653237208724022,0.0032960998360067606,0.002187000820413232,0.011949041858315468,0.0006573645514436066,0.6097537279129028
baseline,42,7,6381,medium,64,5,7722.00048828125,0.0020293481647968292,0.06949055194854736,0.0715198963880539,0.009845214895904064,0.001546154380775988,0.002992230001837015,0.0009720000671222806,0.012117927893996239,7.268110493896529e-05,0.8286736607551575
baseline,42,7,6381,large,86,3,9222.0029296875,0.0025963783264160156,0.005192220211029053,0.007788598537445068,0.00656817015260458,0.0007925083627924323,0.0023926759604364634,0.002523000817745924,0.0066583710722625256,0.00028599152574315667,0.8095967769622803
baseline,42,7,6381,medium,107,10,1504.0003662109375,0.020728111267089844,0.030400842428207397,0.05112895369529724,0.013285789638757706,0.0032401657663285732,0.005432304460555315,0.00034133344888687134,0.0013090375578030944,0.003131845034658909,0.80184006690979
baseline,42,7,6381,large,112,14,10176.001953125,0.003139674663543701,0.015457987785339355,0.018597662448883057,0.007886404171586037,0.00120047468226403,0.0014444786356762052,0.003072001039981842,0.0066583710722625256,0.00040049251401796937,0.7922416925430298
baseline,42,7,6381,large,119,6,10716.001953125,0.011066585779190063,0.032338082790374756,0.04340466856956482,0.010811517015099525,0.0007446192321367562,0.003278447547927499,0.0019253336358815432,0.01178133487701416,0.0005639576120302081,0.7975064516067505
baseline,42,7,6381,small,129,11,645.9996948242188,0.011701107025146484,0.0411284863948822,0.052829593420028687,0.0179784893989563,0.004198766779154539,0.006385969929397106,9.633321315050125e-05,0.0008557038381695747,0.004172895103693008,0.8883618116378784
baseline,42,7,6381,medium,136,4,1680.0,0.017393052577972412,0.03380891680717468,0.051201969385147095,0.00770070543512702,0.002380083315074444,0.0034043025225400925,0.000533333164639771,0.0010453339200466871,0.0017474931664764881,0.8215959072113037
baseline,42,7,6381,large,140,2,18984.0,0.029129743576049805,0.04647183418273926,0.07560157775878906,0.018926391378045082,0.0011662180768325925,0.002084353007376194,0.004256334155797958,0.0167253315448761,0.0005976487300358713,0.8689828515052795
baseline,42,7,6381,medium,141,13,6307.00048828125,0.04237174987792969,0.004787027835845947,0.047158777713775635,0.009933659806847572,0.002121974481269717,0.004431229084730148,0.004720333963632584,0.0016645927680656314,0.00228433171287179,0.7978290319442749
baseline,42,7,6381,large,194,1,20207.00390625,0.038046225905418396,0.006197869777679443,0.04424409568309784,0.0564798042178154,0.019207997247576714,0.02247782237827778,0.004880333319306374,0.01652682013809681,0.018100569024682045,0.8001954555511475
baseline,42,7,6381,large,219,12,37840.0078125,0.13597646355628967,0.04249393939971924,0.1784704029560089,0.03791186213493347,0.005160737782716751,0.003649266203865409,0.039445336908102036,0.007170373108237982,5.3077994380146265e-05,0.7613524198532104
baseline,42,7,6381,small,242,8,1008.0000610351562,0.0030868351459503174,0.06810161471366882,0.07118844985961914,0.005266984924674034,0.0011041166726499796,0.003346454119309783,0.00019200006499886513,0.0010453332215547562,0.0010268735932186246,0.8321409225463867
baseline,42,7,6381,small,296,0,900.0008544921875,0.005955219268798828,0.03322553634643555,0.039180755615234375,0.003373275510966778,0.0007252457435242832,0.002586072077974677,0.00013333348033484071,0.0012000008719041944,0.0006976459990255535,0.7918508648872375
baseline,42,7,4537,medium,32,3,5045.16748046875,0.10356178879737854,0.12510190904140472,0.22866369783878326,0.0016324686584994197,0.0012193451402708888,0.0024281868245452642,0.0021377105731517076,0.002197031630203128,0.0002414740447420627,0.7937233448028564
baseline,42,7,4537,large,66,4,16209.3759765625,0.030707120895385742,0.05250975489616394,0.08321687579154968,0.011307161301374435,0.004178768023848534,0.00666835019364953,0.008758129552006721,0.005535479635000229,0.002797464607283473,0.8544193506240845
baseline,42,7,4537,medium,122,5,8239.765625,0.016415178775787354,0.019728094339370728,0.03614327311515808,0.012471724301576614,0.0031375554390251637,0.005833407398313284,0.0011546555906534195,0.010849541053175926,0.0027363456320017576,0.856133222579956
baseline,42,7,4537,large,133,6,15378.6416015625,0.013772964477539062,0.07500043511390686,0.08877339959144592,0.025905698537826538,0.0018104949267581105,0.0060240901075303555,0.0014773746952414513,0.029537875205278397,0.0010293967789039016,0.85502028465271
baseline,42,7,4537,large,177,1,22924.6875,0.010932907462120056,0.02373981475830078,0.03467272222042084,0.017854725942015648,0.0020970269106328487,0.006623977329581976,0.005406803917139769,0.017934955656528473,0.0016169857699424028,0.791993260383606
baseline,42,7,4537,large,220,0,42196.4765625,0.006946563720703125,0.050134360790252686,0.05708092451095581,0.03127983212471008,0.0022429171949625015,0.004683138336986303,0.015293210744857788,0.021482646465301514,0.0007150158053264022,0.8266040682792664
baseline,42,7,4537,large,291,2,23189.056640625,0.027899786829948425,0.043674081563949585,0.07157386839389801,0.017095156013965607,0.0018132985569536686,0.002319633960723877,0.012042736634612083,0.008239010348916054,0.0004731703957077116,0.8656982183456421
baseline,42,7,9896,large,118,0,39520.00390625,0.022622346878051758,0.0030242204666137695,0.025646567344665527,0.03089331090450287,0.0016403001500293612,0.0036386975552886724,0.014421334490180016,0.021392596885561943,0.00017918836965691298,0.8761215209960938
baseline,42,7,7223,large,223,0,121878.0,0.02639743685722351,0.039629459381103516,0.06602689623832703,0.1081913560628891,0.0091340821236372,0.011972661130130291,0.044652000069618225,0.0833333358168602,0.000656378164421767,0.8088970184326172
baseline,42,7,1977,large,20,0,56474.0,0.00801938772201538,0.06637343764305115,0.07439282536506653,0.05227198451757431,0.003276720643043518,0.007181425578892231,0.030401337891817093,0.030323443934321404,0.0010026751551777124,0.8861167430877686
