experiment,seed,scale,AP,AP50,AP75,AR
baseline,42,small,0.05436960235238075,0.12315017216007315,0.054167321494054156,0.07037036865949631
baseline,42,medium,0.07116172462701797,0.1477322681652451,0.06459428504224028,0.22291666269302368
baseline,42,large,0.0986151322722435,0.15960492475638297,0.10664998202454813,0.4840596318244934
moment_guided,42,small,0.08463233709335327,0.20870309253147534,0.07414741474147415,0.11697530746459961
moment_guided,42,medium,0.10225460678339005,0.1594796115685508,0.11707662468263608,0.203083336353302
moment_guided,42,large,0.10236676782369614,0.16860590696291863,0.10947334493032015,0.46039074659347534
baseline,43,small,0.04728958383202553,0.10719698954022387,0.04198479549447481,0.07006172835826874
baseline,43,medium,0.11386799067258835,0.21900125745193427,0.11019299979506214,0.2279375046491623
baseline,43,large,0.17651598155498505,0.2553257089500939,0.2072601471497788,0.58124178647995
moment_guided,43,small,0.021770033985376358,0.0402064015925402,0.01496149614961496,0.0604938268661499
moment_guided,43,medium,0.07921858131885529,0.13032734488509232,0.08912610189236607,0.20993749797344208
moment_guided,43,large,0.09938541799783707,0.16198572232942182,0.11271956549603399,0.4391189515590668
baseline,44,small,0.03692036494612694,0.07890701599710798,0.028602860286028594,0.05216049402952194
baseline,44,medium,0.05652652308344841,0.0961213626747983,0.06038650312275814,0.20872916281223297
baseline,44,large,0.10014086216688156,0.1642199147437843,0.12857864831614624,0.40731340646743774
moment_guided,44,small,0.04558689892292023,0.1225836869401226,0.030069673634030066,0.06265432387590408
moment_guided,44,medium,0.10163984447717667,0.17223085451074946,0.10600651538316348,0.2475833296775818
moment_guided,44,large,0.10570015758275986,0.16665879411387852,0.13465393928527405,0.49072760343551636
